gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
DAL949.SEA.ATL.230321.2215.0175.TFM,KSEA,KATL,2023-03-23 02:35:00,2023-03-23 03:00:00,DAL,2023-03-22 22:35:00,2023-03-22 23:00:00,0.0,10.0,0.0,2023-03-23,02:35:00,2023-03-22,22:35:00,0.0
DAL966.ATL.LAX.230321.2355.0152.TFM,KATL,KLAX,2023-03-23 05:33:00,2023-03-23 05:00:00,DAL,2023-03-23 01:33:00,2023-03-23 01:00:00,8.0,0.0,33.0,2023-03-23,05:33:00,2023-03-23,01:33:00,33.0
DAL32.DFW.ATL.230321.2255.0125.TFM,KDFW,KATL,2023-03-23 00:41:00,2023-03-23 01:00:00,DAL,2023-03-22 20:41:00,2023-03-22 21:00:00,0.0,4.0,0.0,2023-03-23,00:41:00,2023-03-22,20:41:00,0.0
DAL770.SEA.BOS.230321.2250.0142.TFM,KSEA,KBOS,2023-03-23 03:32:00,2023-03-23 04:09:00,DAL,2023-03-22 23:32:00,2023-03-23 00:09:00,1.0,10.0,0.0,2023-03-23,03:32:00,2023-03-22,23:32:00,0.0
DAL505.SFO.JFK.230321.1855.0135.TFM,KSFO,KJFK,2023-03-23 00:35:00,2023-03-23 00:29:00,DAL,2023-03-22 20:35:00,2023-03-22 20:29:00,7.0,11.0,0.0,2023-03-23,00:35:00,2023-03-22,20:35:00,0.0
DAL409.ATL.LGA.230321.2200.0149.TFM,KATL,KLGA,2023-03-23 00:03:00,2023-03-23 00:15:00,DAL,2023-03-22 20:03:00,2023-03-22 20:15:00,9.0,0.0,0.0,2023-03-23,00:03:00,2023-03-22,20:03:00,0.0
DAL375.ATL.BOS.230321.1515.0175.TFM,KATL,KBOS,2023-03-22 17:43:00,2023-03-22 17:51:00,DAL,2023-03-22 13:43:00,2023-03-22 13:51:00,1.0,0.0,0.0,2023-03-22,17:43:00,2023-03-22,13:43:00,0.0
DAL2267.SFO.LAX.230320.2300.0183.TFM,KSFO,KLAX,2023-03-22 08:25:00,2023-03-22 00:27:00,DAL,2023-03-22 04:25:00,2023-03-21 20:27:00,8.0,11.0,478.0,2023-03-22,08:25:00,2023-03-22,04:25:00,511.0
DAL949.SEA.ATL.230320.2215.0144.TFM,KSEA,KATL,2023-03-22 08:52:00,2023-03-22 03:00:00,DAL,2023-03-22 04:52:00,2023-03-21 23:00:00,0.0,10.0,352.0,2023-03-22,08:52:00,2023-03-22,04:52:00,352.0
DAL319.JFK.SFO.230321.0140.0050.TFM,KJFK,KSFO,2023-03-22 08:36:00,2023-03-22 08:33:00,DAL,2023-03-22 04:36:00,2023-03-22 04:33:00,11.0,7.0,0.0,2023-03-22,08:36:00,2023-03-22,04:36:00,0.0
DAL516.LAX.JFK.230321.0530.0036.TFM,KLAX,KJFK,2023-03-22 10:24:00,2023-03-22 10:50:00,DAL,2023-03-22 06:24:00,2023-03-22 06:50:00,7.0,8.0,0.0,2023-03-22,10:24:00,2023-03-22,06:24:00,0.0
DAL923.ATL.SFO.230321.2040.0136.TFM,KATL,KSFO,2023-03-23 01:47:00,2023-03-23 02:09:00,DAL,2023-03-22 21:47:00,2023-03-22 22:09:00,11.0,0.0,0.0,2023-03-23,01:47:00,2023-03-22,21:47:00,0.0
DAL2152.LAX.SEA.230322.0345.0046.TFM,KLAX,KSEA,2023-03-23 06:16:00,2023-03-23 06:35:00,DAL,2023-03-23 02:16:00,2023-03-23 02:35:00,10.0,8.0,0.0,2023-03-23,06:16:00,2023-03-23,02:16:00,0.0
DAL572.ATL.BOS.230321.1615.0058.TFM,KATL,KBOS,2023-03-22 18:32:00,2023-03-22 18:45:00,DAL,2023-03-22 14:32:00,2023-03-22 14:45:00,1.0,0.0,0.0,2023-03-22,18:32:00,2023-03-22,14:32:00,0.0
DAL877.LGA.ATL.230321.1525.0025.TFM,KLGA,KATL,2023-03-22 17:45:00,2023-03-22 18:13:00,DAL,2023-03-22 13:45:00,2023-03-22 14:13:00,0.0,9.0,0.0,2023-03-22,17:45:00,2023-03-22,13:45:00,352.0
DAL2332.ATL.IAD.230321.1105.0041.TFM,KATL,KIAD,2023-03-22 12:51:00,2023-03-22 12:45:00,DAL,2023-03-22 08:51:00,2023-03-22 08:45:00,6.0,0.0,0.0,2023-03-22,12:51:00,2023-03-22,08:51:00,0.0
DAL656.ATL.SFO.230321.0230.0077.TFM,KATL,KSFO,2023-03-22 08:16:00,2023-03-22 07:58:00,DAL,2023-03-22 04:16:00,2023-03-22 03:58:00,11.0,0.0,18.0,2023-03-22,08:16:00,2023-03-22,04:16:00,18.0
