gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
DAL661.ATL.BOS.230121.0310.0067.TFM,KATL,KBOS,2023-01-22 05:59:00,2023-01-22 05:42:00,DAL,2023-01-22 00:59:00,2023-01-22 00:42:00,1.0,0.0,17.0,2023-01-22,05:59:00,2023-01-22,00:59:00,
DAL719.JFK.SFO.230122.1500.0277.TFM,KJFK,KSFO,2023-01-23 20:39:00,2023-01-23 21:48:00,DAL,2023-01-23 15:39:00,2023-01-23 16:48:00,11.0,7.0,0.0,2023-01-23,20:39:00,2023-01-23,15:39:00,
DAL1465.BOS.SEA.230120.2330.0109.TFM,KBOS,KSEA,2023-01-22 05:57:00,2023-01-22 06:12:00,DAL,2023-01-22 00:57:00,2023-01-22 01:12:00,10.0,1.0,0.0,2023-01-22,05:57:00,2023-01-22,00:57:00,
DAL656.ATL.SFO.230121.0250.0058.TFM,KATL,KSFO,2023-01-22 07:52:00,2023-01-22 08:12:00,DAL,2023-01-22 02:52:00,2023-01-22 03:12:00,11.0,0.0,0.0,2023-01-22,07:52:00,2023-01-22,02:52:00,
DAL687.ATL.DCA.230122.2250.0126.TFM,KATL,KDCA,2023-01-24 00:36:00,2023-01-24 00:30:00,DAL,2023-01-23 19:36:00,2023-01-23 19:30:00,3.0,0.0,0.0,2023-01-24,00:36:00,2023-01-23,19:36:00,
DAL482.JFK.LAX.230122.1345.0039.TFM,KJFK,KLAX,2023-01-23 20:01:00,2023-01-23 20:20:00,DAL,2023-01-23 15:01:00,2023-01-23 15:20:00,8.0,7.0,0.0,2023-01-23,20:01:00,2023-01-23,15:01:00,
DAL1386.BOS.JFK.230121.0100.0187.TFM,KBOS,KJFK,2023-01-22 02:30:00,2023-01-22 02:29:00,DAL,2023-01-21 21:30:00,2023-01-21 21:29:00,7.0,1.0,0.0,2023-01-22,02:30:00,2023-01-21,21:30:00,
DAL567.BWI.ATL.230122.2310.0148.TFM,KBWI,KATL,2023-01-24 01:06:00,2023-01-24 01:10:00,DAL,2023-01-23 20:06:00,2023-01-23 20:10:00,0.0,2.0,0.0,2023-01-24,01:06:00,2023-01-23,20:06:00,
DAL316.ATL.DCA.230122.1440.0021.TFM,KATL,KDCA,2023-01-23 16:23:00,2023-01-23 16:19:00,DAL,2023-01-23 11:23:00,2023-01-23 11:19:00,3.0,0.0,0.0,2023-01-23,16:23:00,2023-01-23,11:23:00,
DAL2602.JFK.DFW.230122.1200.0238.TFM,KJFK,KDFW,2023-01-23 15:57:00,2023-01-23 16:15:00,DAL,2023-01-23 10:57:00,2023-01-23 11:15:00,4.0,7.0,0.0,2023-01-23,15:57:00,2023-01-23,10:57:00,
