hour,airport_icao_names,cumulative_delay,edge_index
17,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [ 47.],
        [573.],
        [113.],
        [  0.],
        [ 55.],
        [332.],
        [586.],
        [  0.],
        [176.]])","tensor([[ 8,  7,  8,  8,  4,  4,  4,  4,  9,  4,  9],
        [ 4,  8,  4,  0,  8,  7,  1, 10,  4,  5,  3]])"
18,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 36.],
        [  0.],
        [  0.],
        [648.],
        [113.],
        [  0.],
        [ 55.],
        [384.],
        [586.],
        [  0.],
        [176.]])","tensor([[1, 4, 3, 1, 0, 3, 5, 4, 7],
        [3, 2, 1, 4, 4, 9, 4, 8, 4]])"
19,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [ 47.],
        [648.],
        [113.],
        [  0.],
        [ 55.],
        [384.],
        [586.],
        [  0.],
        [176.]])","tensor([[11,  4,  9,  3,  4, 11,  4,  3, 11, 10,  3,  9,  4,  2],
        [ 4,  7,  4,  4,  9,  4,  0,  9,  7,  4,  1,  3,  3,  4]])"
20,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [ 20.],
        [466.],
        [113.],
        [  0.],
        [ 55.],
        [384.],
        [550.],
        [  0.],
        [176.]])","tensor([[5, 4, 8, 1, 4, 8, 4, 8, 4, 6],
        [4, 9, 7, 4, 9, 4, 3, 7, 1, 4]])"
21,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [ 47.],
        [597.],
        [ 85.],
        [  0.],
        [ 55.],
        [384.],
        [550.],
        [  0.],
        [176.]])","tensor([[ 9,  4,  8,  8,  4,  4,  1,  4,  3, 11],
        [ 4,  7,  3,  4,  0, 11,  3,  5,  4,  7]])"
22,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 36.],
        [  0.],
        [ 47.],
        [648.],
        [ 85.],
        [  0.],
        [ 55.],
        [384.],
        [586.],
        [  0.],
        [ 67.]])","tensor([[ 4,  0,  4,  0,  3,  3,  4,  8,  4,  2, 10,  9,  4,  4,  4,  9,  8,  7,
          7,  1,  4],
        [ 8,  8,  1,  4,  4,  9, 10,  4, 11,  4,  4,  4,  9,  8, 10,  3,  7,  4,
          8,  4,  3]])"
23,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [  0.],
        [289.],
        [ 85.],
        [ 51.],
        [ 55.],
        [332.],
        [550.],
        [  0.],
        [ 67.]])","tensor([[4, 7, 5, 4, 9, 4, 3, 4, 4],
        [8, 8, 4, 6, 3, 9, 8, 1, 2]])"
24,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [  0.],
        [365.],
        [ 85.],
        [ 51.],
        [ 55.],
        [332.],
        [550.],
        [  0.],
        [176.]])","tensor([[ 4,  4,  9,  4,  3,  8,  4,  7],
        [10,  3,  4, 11,  1,  4,  5, 11]])"
25,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [  0.],
        [323.],
        [ 85.],
        [ 51.],
        [ 55.],
        [137.],
        [550.],
        [  0.],
        [176.]])","tensor([[ 4,  4, 11,  8,  4],
        [ 8, 11,  4, 11, 11]])"
26,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [  0.],
        [323.],
        [ 85.],
        [ 51.],
        [ 55.],
        [163.],
        [209.],
        [  0.],
        [176.]])","tensor([[ 4,  4,  4,  7],
        [10,  8,  9,  8]])"
27,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [  0.],
        [323.],
        [ 85.],
        [ 51.],
        [ 55.],
        [ 78.],
        [209.],
        [  0.],
        [  0.]])","tensor([[ 4,  7,  4],
        [ 8,  8, 11]])"
