,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
179,AAL1105.LGA.DFW.230221.0005.0216.TFM,KLGA,KDFW,2023-02-22 04:09:00,2023-02-22 04:35:00,AAL
180,AAL1430.DFW.SFO.230221.0110.0102.TFM,KDFW,KSFO,2023-02-22 05:03:00,2023-02-22 05:09:00,AAL
181,AAL2394.DFW.SEA.230221.0300.0134.TFM,KDFW,KSEA,2023-02-22 06:57:00,2023-02-22 07:22:00,AAL
182,AAL1078.IAD.DFW.230220.2205.0164.TFM,KIAD,KDFW,2023-02-22 03:42:00,2023-02-22 01:44:00,AAL
183,AAL1726.DFW.LGA.230221.0130.0153.TFM,KDFW,KLGA,2023-02-22 04:20:00,2023-02-22 04:42:00,AAL
184,AAL2222.DFW.DCA.230221.0245.0067.TFM,KDFW,KDCA,2023-02-22 05:16:00,2023-02-22 05:28:00,AAL
185,AAL2907.DCA.DFW.230221.0000.0126.TFM,KDCA,KDFW,2023-02-22 03:45:00,2023-02-22 03:41:00,AAL
186,AAL2143.BOS.DCA.230221.0030.0210.TFM,KBOS,KDCA,2023-02-22 01:54:00,2023-02-22 02:15:00,AAL
187,AAL613.EWR.DFW.230220.2315.0137.TFM,KEWR,KDFW,2023-02-22 03:46:00,2023-02-22 03:25:00,AAL
188,AAL1653.DFW.LAX.230221.0100.0151.TFM,KDFW,KLAX,2023-02-22 04:31:00,2023-02-22 04:37:00,AAL
189,AAL2321.DFW.LAX.230221.0015.0069.TFM,KDFW,KLAX,2023-02-22 03:12:00,2023-02-22 03:35:00,AAL
190,AAL2708.DFW.LGA.230221.0035.0073.TFM,KDFW,KLGA,2023-02-22 04:33:00,2023-02-22 03:51:00,AAL
191,AAL2697.DFW.LAX.230221.0330.0055.TFM,KDFW,KLAX,2023-02-22 07:05:00,2023-02-22 06:54:00,AAL
192,AAL2251.DFW.BWI.230221.0140.0086.TFM,KDFW,KBWI,2023-02-22 04:08:00,2023-02-22 04:22:00,AAL
193,AAL2120.DCA.BOS.230221.0300.0125.TFM,KDCA,KBOS,2023-02-22 04:15:00,2023-02-22 04:29:00,AAL
194,AAL2403.ATL.DFW.230221.0115.0110.TFM,KATL,KDFW,2023-02-22 03:30:00,2023-02-22 03:44:00,AAL
195,AAL1660.DFW.BOS.230220.2310.0157.TFM,KDFW,KBOS,2023-02-22 04:16:00,2023-02-22 02:34:00,AAL
196,AAL2028.SFO.DFW.230221.0215.0032.TFM,KSFO,KDFW,2023-02-22 05:42:00,2023-02-22 05:41:00,AAL
197,AAL2128.LGA.DCA.230221.0100.0181.TFM,KLGA,KDCA,2023-02-22 02:33:00,2023-02-22 02:35:00,AAL
198,AAL342.DFW.SFO.230221.0205.0122.TFM,KDFW,KSFO,2023-02-22 05:48:00,2023-02-22 05:56:00,AAL
199,AAL2967.LAX.DFW.230221.0230.0096.TFM,KLAX,KDFW,2023-02-22 06:17:00,2023-02-22 05:30:00,AAL
200,AAL1241.DFW.SEA.230221.0110.0087.TFM,KDFW,KSEA,2023-02-22 05:32:00,2023-02-22 05:38:00,AAL
201,AAL2723.LAX.DFW.230221.0030.0231.TFM,KLAX,KDFW,2023-02-22 03:20:00,2023-02-22 03:29:00,AAL
202,AAL2752.DFW.DCA.230221.0115.0116.TFM,KDFW,KDCA,2023-02-22 03:41:00,2023-02-22 04:00:00,AAL
203,AAL726.DFW.EWR.230221.0050.0147.TFM,KDFW,KEWR,2023-02-22 04:33:00,2023-02-22 04:03:00,AAL
204,AAL2123.LGA.DCA.230221.0300.0120.TFM,KLGA,KDCA,2023-02-22 03:52:00,2023-02-22 04:23:00,AAL
205,AAL512.DFW.LGA.230220.2350.0087.TFM,KDFW,KLGA,2023-02-22 04:41:00,2023-02-22 03:01:00,AAL
206,AAL2254.DFW.LAX.230221.0240.0067.TFM,KDFW,KLAX,2023-02-22 06:16:00,2023-02-22 06:05:00,AAL
207,AAL177.JFK.SFO.230221.0205.0107.TFM,KJFK,KSFO,2023-02-22 08:42:00,2023-02-22 08:52:00,AAL
208,AAL891.LAX.SFO.230221.0345.0048.TFM,KLAX,KSFO,2023-02-22 06:14:00,2023-02-22 05:07:00,AAL
209,AAL2879.DCA.LGA.230220.2300.0273.TFM,KDCA,KLGA,2023-02-22 00:59:00,2023-02-22 00:11:00,AAL
210,AAL2600.BOS.DFW.230221.1230.0195.TFM,KBOS,KDFW,2023-02-22 17:30:00,2023-02-22 17:15:00,AAL
211,AAL1.JFK.LAX.230221.1230.0131.TFM,KJFK,KLAX,2023-02-22 19:39:00,2023-02-22 18:57:00,AAL
212,AAL2767.DFW.SEA.230221.1435.0042.TFM,KDFW,KSEA,2023-02-22 18:28:00,2023-02-22 19:02:00,AAL
213,AAL2153.DCA.LGA.230221.1310.0080.TFM,KDCA,KLGA,2023-02-22 14:05:00,2023-02-22 14:24:00,AAL
214,AAL395.LAX.DFW.230221.1700.0087.TFM,KLAX,KDFW,2023-02-22 19:39:00,2023-02-22 20:00:00,AAL
215,AAL2817.DFW.DCA.230221.1635.0149.TFM,KDFW,KDCA,2023-02-22 19:19:00,2023-02-22 19:24:00,AAL
216,AAL1078.DFW.IAD.230221.1835.0147.TFM,KDFW,KIAD,2023-02-22 20:56:00,2023-02-22 21:15:00,AAL
217,AAL2180.ATL.DCA.230221.1920.0135.TFM,KATL,KDCA,2023-02-22 20:47:00,2023-02-22 21:11:00,AAL
