gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
DAL2590.ATL.BWI.230502.1130.0128.TFM,KATL,KBWI,2023-05-03 13:17:00,2023-05-03 13:18:00,DAL,2023-05-03 09:17:00,2023-05-03 09:18:00,2.0,0.0,0.0,2023-05-03,13:17:00,2023-05-03,09:17:00,0.0
DAL568.LAX.DFW.230502.0135.0041.TFM,KLAX,KDFW,2023-05-03 05:36:00,2023-05-03 04:26:00,DAL,2023-05-03 01:36:00,2023-05-03 00:26:00,4.0,8.0,70.0,2023-05-03,05:36:00,2023-05-03,01:36:00,
DAL2223.ATL.BWI.230502.0205.0042.TFM,KATL,KBWI,2023-05-03 03:46:00,2023-05-03 03:56:00,DAL,2023-05-02 23:46:00,2023-05-02 23:56:00,2.0,0.0,0.0,2023-05-03,03:46:00,2023-05-02,23:46:00,
DAL2465.ATL.EWR.230502.0150.0032.TFM,KATL,KEWR,2023-05-03 04:19:00,2023-05-03 03:57:00,DAL,2023-05-03 00:19:00,2023-05-02 23:57:00,5.0,0.0,22.0,2023-05-03,04:19:00,2023-05-03,00:19:00,
DAL561.ATL.BOS.230502.0010.0121.TFM,KATL,KBOS,2023-05-03 02:46:00,2023-05-03 02:42:00,DAL,2023-05-02 22:46:00,2023-05-02 22:42:00,1.0,0.0,0.0,2023-05-03,02:46:00,2023-05-02,22:46:00,
DAL737.ATL.DCA.230502.0220.0093.TFM,KATL,KDCA,2023-05-03 03:42:00,2023-05-03 03:58:00,DAL,2023-05-02 23:42:00,2023-05-02 23:58:00,3.0,0.0,0.0,2023-05-03,03:42:00,2023-05-02,23:42:00,
DAL665.DCA.ATL.230501.2300.0238.TFM,KDCA,KATL,2023-05-03 01:49:00,2023-05-03 00:59:00,DAL,2023-05-02 21:49:00,2023-05-02 20:59:00,0.0,3.0,50.0,2023-05-03,01:49:00,2023-05-02,21:49:00,
DAL312.DCA.ATL.230502.0050.0083.TFM,KDCA,KATL,2023-05-03 02:30:00,2023-05-03 02:53:00,DAL,2023-05-02 22:30:00,2023-05-02 22:53:00,0.0,3.0,0.0,2023-05-03,02:30:00,2023-05-02,22:30:00,
DAL2807.LGA.BOS.230502.0200.0039.TFM,KLGA,KBOS,2023-05-03 02:57:00,2023-05-03 03:08:00,DAL,2023-05-02 22:57:00,2023-05-02 23:08:00,1.0,9.0,0.0,2023-05-03,02:57:00,2023-05-02,22:57:00,
DAL407.LGA.ATL.230502.0120.0098.TFM,KLGA,KATL,2023-05-03 03:32:00,2023-05-03 03:58:00,DAL,2023-05-02 23:32:00,2023-05-02 23:58:00,0.0,9.0,0.0,2023-05-03,03:32:00,2023-05-02,23:32:00,
DAL885.ATL.LGA.230502.0130.0082.TFM,KATL,KLGA,2023-05-03 03:31:00,2023-05-03 03:44:00,DAL,2023-05-02 23:31:00,2023-05-02 23:44:00,9.0,0.0,0.0,2023-05-03,03:31:00,2023-05-02,23:31:00,
DAL329.ATL.DCA.230502.0115.0066.TFM,KATL,KDCA,2023-05-03 02:51:00,2023-05-03 02:57:00,DAL,2023-05-02 22:51:00,2023-05-02 22:57:00,3.0,0.0,0.0,2023-05-03,02:51:00,2023-05-02,22:51:00,
DAL2549.ATL.IAD.230502.0240.0058.TFM,KATL,KIAD,2023-05-03 04:10:00,2023-05-03 04:18:00,DAL,2023-05-03 00:10:00,2023-05-03 00:18:00,6.0,0.0,0.0,2023-05-03,04:10:00,2023-05-03,00:10:00,
