gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
AAL2023.SFO.DFW.230228.2135.0087.TFM,KSFO,KDFW,2023-03-02 01:46:00,2023-03-02 00:57:00,AAL,2023-03-01 20:46:00,2023-03-01 19:57:00,4.0,11.0,49.0,2023-03-02,01:46:00,2023-03-01,20:46:00,1034.0
AAL2527.BOS.DFW.230228.1035.0043.TFM,KBOS,KDFW,2023-03-01 14:57:00,2023-03-01 15:02:00,AAL,2023-03-01 09:57:00,2023-03-01 10:02:00,4.0,1.0,0.0,2023-03-01,14:57:00,2023-03-01,09:57:00,1034.0
AAL2811.LAX.DFW.230228.1400.0329.TFM,KLAX,KDFW,2023-03-01 17:07:00,2023-03-01 17:02:00,AAL,2023-03-01 12:07:00,2023-03-01 12:02:00,4.0,8.0,0.0,2023-03-01,17:07:00,2023-03-01,12:07:00,1034.0
AAL2652.JFK.SFO.230228.2250.0094.TFM,KJFK,KSFO,2023-03-02 06:10:00,2023-03-02 05:31:00,AAL,2023-03-02 01:10:00,2023-03-02 00:31:00,11.0,7.0,39.0,2023-03-02,06:10:00,2023-03-02,01:10:00,218.0
AAL16.SFO.JFK.230228.2130.0130.TFM,KSFO,KJFK,2023-03-02 02:20:00,2023-03-02 03:00:00,AAL,2023-03-01 21:20:00,2023-03-01 22:00:00,7.0,11.0,0.0,2023-03-02,02:20:00,2023-03-01,21:20:00,94.0
AAL1241.DFW.SEA.230301.0115.0100.TFM,KDFW,KSEA,2023-03-02 06:21:00,2023-03-02 05:38:00,AAL,2023-03-02 01:21:00,2023-03-02 00:38:00,10.0,4.0,43.0,2023-03-02,06:21:00,2023-03-02,01:21:00,75.0
AAL2085.LGA.DCA.230228.1700.0261.TFM,KLGA,KDCA,2023-03-01 18:06:00,2023-03-01 18:16:00,AAL,2023-03-01 13:06:00,2023-03-01 13:16:00,3.0,9.0,0.0,2023-03-01,18:06:00,2023-03-01,13:06:00,254.0
AAL2853.LAX.DFW.230228.1900.0253.TFM,KLAX,KDFW,2023-03-01 22:06:00,2023-03-01 22:02:00,AAL,2023-03-01 17:06:00,2023-03-01 17:02:00,4.0,8.0,0.0,2023-03-01,22:06:00,2023-03-01,17:06:00,1034.0
AAL1435.DFW.LGA.230228.1315.0105.TFM,KDFW,KLGA,2023-03-01 17:21:00,2023-03-01 16:30:00,AAL,2023-03-01 12:21:00,2023-03-01 11:30:00,9.0,4.0,51.0,2023-03-01,17:21:00,2023-03-01,12:21:00,97.0
AAL982.DFW.ATL.230228.1435.0064.TFM,KDFW,KATL,2023-03-01 17:07:00,2023-03-01 16:36:00,AAL,2023-03-01 12:07:00,2023-03-01 11:36:00,0.0,4.0,31.0,2023-03-01,17:07:00,2023-03-01,12:07:00,84.0
AAL428.LGA.DFW.230228.1230.0201.TFM,KLGA,KDFW,2023-03-01 16:33:00,2023-03-01 16:40:00,AAL,2023-03-01 11:33:00,2023-03-01 11:40:00,4.0,9.0,0.0,2023-03-01,16:33:00,2023-03-01,11:33:00,1034.0
AAL2109.LAX.DCA.230228.1605.0079.TFM,KLAX,KDCA,2023-03-01 20:19:00,2023-03-01 20:54:00,AAL,2023-03-01 15:19:00,2023-03-01 15:54:00,3.0,8.0,0.0,2023-03-01,20:19:00,2023-03-01,15:19:00,254.0
