hour,airport_icao_names,cumulative_delay,edge_index
4,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([], size=(2, 0), dtype=torch.int64)"
5,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([], size=(2, 0), dtype=torch.int64)"
6,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [ 0.],
        [33.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[2],
        [3]])"
7,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [ 0.],
        [33.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[2, 0],
        [0, 2]])"
8,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[4],
        [3]])"
9,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [28.],
        [ 0.]])","tensor([[5, 5, 1],
        [2, 1, 5]])"
10,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [19.],
        [ 0.],
        [ 0.],
        [28.],
        [ 0.]])","tensor([[2, 2, 0],
        [6, 0, 2]])"
11,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [ 0.],
        [33.],
        [ 0.],
        [28.],
        [ 0.]])","tensor([[3, 2, 0],
        [2, 1, 3]])"
12,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [19.],
        [33.],
        [ 0.],
        [28.],
        [ 0.]])","tensor([[1, 6],
        [5, 2]])"
13,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [19.],
        [33.],
        [ 0.],
        [28.],
        [ 0.]])","tensor([[1, 5, 0],
        [2, 1, 2]])"
14,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [19.],
        [33.],
        [ 0.],
        [ 0.],
        [26.]])","tensor([[2, 2, 2],
        [5, 6, 3]])"
15,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [19.],
        [33.],
        [ 0.],
        [ 0.],
        [26.]])","tensor([[1, 2, 6],
        [5, 0, 2]])"
16,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [19.],
        [33.],
        [ 0.],
        [28.],
        [26.]])","tensor([[2, 1],
        [1, 5]])"
17,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [19.],
        [33.],
        [ 0.],
        [28.],
        [ 0.]])","tensor([[2, 6, 5],
        [6, 2, 2]])"
18,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [ 0.],
        [33.],
        [ 0.],
        [28.],
        [ 0.]])","tensor([[0, 2],
        [2, 5]])"
19,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [ 0.],
        [33.],
        [49.],
        [28.],
        [ 0.]])","tensor([[1, 3],
        [2, 4]])"
20,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [19.],
        [33.],
        [49.],
        [28.],
        [ 0.]])","tensor([[5, 5],
        [2, 1]])"
21,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [19.],
        [33.],
        [49.],
        [28.],
        [ 0.]])","tensor([[2, 4, 3],
        [5, 3, 2]])"
22,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [19.],
        [33.],
        [49.],
        [28.],
        [ 0.]])","tensor([], size=(2, 0), dtype=torch.int64)"
23,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [19.],
        [33.],
        [ 0.],
        [28.],
        [ 0.]])","tensor([[3, 5],
        [4, 1]])"
