gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
RPA4500.JFK.DCA.230222.1250.0053.TFM,KJFK,KDCA,2023-02-23 14:05:00,2023-02-23 14:24:00,RPA,2023-02-23 09:05:00,2023-02-23 09:24:00,2.0,5.0,0.0,2023-02-23,14:05:00,2023-02-23,09:05:00,
RPA4365.BOS.JFK.230222.1910.0029.TFM,KBOS,KJFK,2023-02-23 21:01:00,2023-02-23 20:29:00,RPA,2023-02-23 16:01:00,2023-02-23 15:29:00,5.0,1.0,32.0,2023-02-23,21:01:00,2023-02-23,16:01:00,
RPA3602.EWR.ATL.230222.1115.0020.TFM,KEWR,KATL,2023-02-23 13:47:00,2023-02-23 13:35:00,RPA,2023-02-23 08:47:00,2023-02-23 08:35:00,0.0,3.0,0.0,2023-02-23,13:47:00,2023-02-23,08:47:00,
RPA3527.DCA.EWR.230222.1100.0036.TFM,KDCA,KEWR,2023-02-23 12:01:00,2023-02-23 11:53:00,RPA,2023-02-23 07:01:00,2023-02-23 06:53:00,3.0,2.0,0.0,2023-02-23,12:01:00,2023-02-23,07:01:00,
RPA4467.ATL.DCA.230222.1640.0060.TFM,KATL,KDCA,2023-02-23 20:23:00,2023-02-23 18:28:00,RPA,2023-02-23 15:23:00,2023-02-23 13:28:00,2.0,0.0,115.0,2023-02-23,20:23:00,2023-02-23,15:23:00,
RPA4367.DCA.BOS.230222.2000.0150.TFM,KDCA,KBOS,2023-02-23 22:56:00,2023-02-23 21:42:00,RPA,2023-02-23 17:56:00,2023-02-23 16:42:00,1.0,2.0,74.0,2023-02-23,22:56:00,2023-02-23,17:56:00,
RPA4781.DCA.JFK.230222.2200.0106.TFM,KDCA,KJFK,2023-02-23 23:16:00,2023-02-23 23:29:00,RPA,2023-02-23 18:16:00,2023-02-23 18:29:00,5.0,2.0,0.0,2023-02-23,23:16:00,2023-02-23,18:16:00,
RPA4467.DCA.ATL.230222.1340.0082.TFM,KDCA,KATL,2023-02-23 18:13:00,2023-02-23 15:53:00,RPA,2023-02-23 13:13:00,2023-02-23 10:53:00,0.0,2.0,140.0,2023-02-23,18:13:00,2023-02-23,13:13:00,
RPA4711.ATL.DCA.230222.1400.0058.TFM,KATL,KDCA,2023-02-23 15:41:00,2023-02-23 16:00:00,RPA,2023-02-23 10:41:00,2023-02-23 11:00:00,2.0,0.0,0.0,2023-02-23,15:41:00,2023-02-23,10:41:00,
RPA4383.DCA.LGA.230222.1800.0102.TFM,KDCA,KLGA,2023-02-23 19:27:00,2023-02-23 19:20:00,RPA,2023-02-23 14:27:00,2023-02-23 14:20:00,6.0,2.0,0.0,2023-02-23,19:27:00,2023-02-23,14:27:00,
RPA4591.DCA.LGA.230222.2110.0097.TFM,KDCA,KLGA,2023-02-23 22:14:00,2023-02-23 22:27:00,RPA,2023-02-23 17:14:00,2023-02-23 17:27:00,6.0,2.0,0.0,2023-02-23,22:14:00,2023-02-23,17:14:00,
RPA4542.ATL.DCA.230222.1105.0048.TFM,KATL,KDCA,2023-02-23 12:51:00,2023-02-23 12:59:00,RPA,2023-02-23 07:51:00,2023-02-23 07:59:00,2.0,0.0,0.0,2023-02-23,12:51:00,2023-02-23,07:51:00,
RPA4379.DCA.BOS.230222.1500.0141.TFM,KDCA,KBOS,2023-02-23 16:27:00,2023-02-23 16:40:00,RPA,2023-02-23 11:27:00,2023-02-23 11:40:00,1.0,2.0,0.0,2023-02-23,16:27:00,2023-02-23,11:27:00,
RPA4383.LGA.DCA.230222.2000.0139.TFM,KLGA,KDCA,2023-02-23 21:34:00,2023-02-23 21:45:00,RPA,2023-02-23 16:34:00,2023-02-23 16:45:00,2.0,6.0,0.0,2023-02-23,21:34:00,2023-02-23,16:34:00,
RPA4518.DCA.ATL.230222.1100.0047.TFM,KDCA,KATL,2023-02-23 12:40:00,2023-02-23 13:14:00,RPA,2023-02-23 07:40:00,2023-02-23 08:14:00,0.0,2.0,0.0,2023-02-23,12:40:00,2023-02-23,07:40:00,
RPA4546.DCA.ATL.230222.1850.0074.TFM,KDCA,KATL,2023-02-23 20:47:00,2023-02-23 20:52:00,RPA,2023-02-23 15:47:00,2023-02-23 15:52:00,0.0,2.0,0.0,2023-02-23,20:47:00,2023-02-23,15:47:00,
RPA3475.IAD.EWR.230222.1210.0084.TFM,KIAD,KEWR,2023-02-23 13:14:00,2023-02-23 13:00:00,RPA,2023-02-23 08:14:00,2023-02-23 08:00:00,3.0,4.0,0.0,2023-02-23,13:14:00,2023-02-23,08:14:00,
RPA4399.LGA.DCA.230222.1900.0075.TFM,KLGA,KDCA,2023-02-23 20:18:00,2023-02-23 20:30:00,RPA,2023-02-23 15:18:00,2023-02-23 15:30:00,2.0,6.0,0.0,2023-02-23,20:18:00,2023-02-23,15:18:00,
RPA3480.EWR.DCA.230222.1530.0107.TFM,KEWR,KDCA,2023-02-23 16:34:00,2023-02-23 16:52:00,RPA,2023-02-23 11:34:00,2023-02-23 11:52:00,2.0,3.0,0.0,2023-02-23,16:34:00,2023-02-23,11:34:00,
RPA3517.EWR.DCA.230222.2130.0083.TFM,KEWR,KDCA,2023-02-23 23:30:00,2023-02-23 22:52:00,RPA,2023-02-23 18:30:00,2023-02-23 17:52:00,2.0,3.0,38.0,2023-02-23,23:30:00,2023-02-23,18:30:00,
RPA3656.EWR.IAD.230222.2200.0135.TFM,KEWR,KIAD,2023-02-23 23:46:00,2023-02-23 23:20:00,RPA,2023-02-23 18:46:00,2023-02-23 18:20:00,4.0,3.0,26.0,2023-02-23,23:46:00,2023-02-23,18:46:00,
RPA4368.JFK.BOS.230222.1800.0112.TFM,KJFK,KBOS,2023-02-23 19:03:00,2023-02-23 19:16:00,RPA,2023-02-23 14:03:00,2023-02-23 14:16:00,1.0,5.0,0.0,2023-02-23,19:03:00,2023-02-23,14:03:00,
RPA4551.DCA.LGA.230222.1400.0059.TFM,KDCA,KLGA,2023-02-23 14:57:00,2023-02-23 15:23:00,RPA,2023-02-23 09:57:00,2023-02-23 10:23:00,6.0,2.0,0.0,2023-02-23,14:57:00,2023-02-23,09:57:00,
RPA4302.BOS.JFK.230222.1859.0001.TFM_TFDM,KBOS,KJFK,2023-02-23 15:52:00,2023-02-23 14:30:00,RPA,2023-02-23 10:52:00,2023-02-23 09:30:00,5.0,1.0,82.0,2023-02-23,15:52:00,2023-02-23,10:52:00,
RPA4393.JFK.BOS.230222.1340.0083.TFM,KJFK,KBOS,2023-02-23 15:28:00,2023-02-23 15:14:00,RPA,2023-02-23 10:28:00,2023-02-23 10:14:00,1.0,5.0,0.0,2023-02-23,15:28:00,2023-02-23,10:28:00,
RPA4378.BOS.JFK.230222.2000.0136.TFM,KBOS,KJFK,2023-02-23 21:24:00,2023-02-23 21:19:00,RPA,2023-02-23 16:24:00,2023-02-23 16:19:00,5.0,1.0,0.0,2023-02-23,21:24:00,2023-02-23,16:24:00,
RPA3601.ATL.EWR.230222.1450.0045.TFM,KATL,KEWR,2023-02-23 17:02:00,2023-02-23 17:06:00,RPA,2023-02-23 12:02:00,2023-02-23 12:06:00,3.0,0.0,0.0,2023-02-23,17:02:00,2023-02-23,12:02:00,
RPA4490.ATL.LGA.230222.1105.0035.TFM,KATL,KLGA,2023-02-23 12:57:00,2023-02-23 13:15:00,RPA,2023-02-23 07:57:00,2023-02-23 08:15:00,6.0,0.0,0.0,2023-02-23,12:57:00,2023-02-23,07:57:00,
RPA4560.JFK.DCA.230222.2045.0089.TFM,KJFK,KDCA,2023-02-23 22:01:00,2023-02-23 22:20:00,RPA,2023-02-23 17:01:00,2023-02-23 17:20:00,2.0,5.0,0.0,2023-02-23,22:01:00,2023-02-23,17:01:00,
RPA4379.BOS.DCA.230222.1730.0027.TFM,KBOS,KDCA,2023-02-23 19:14:00,2023-02-23 19:22:00,RPA,2023-02-23 14:14:00,2023-02-23 14:22:00,2.0,1.0,0.0,2023-02-23,19:14:00,2023-02-23,14:14:00,
RPA4472.ATL.LGA.230222.1705.0150.TFM,KATL,KLGA,2023-02-23 19:06:00,2023-02-23 19:16:00,RPA,2023-02-23 14:06:00,2023-02-23 14:16:00,6.0,0.0,0.0,2023-02-23,19:06:00,2023-02-23,14:06:00,
RPA4668.DCA.JFK.230222.1840.0075.TFM,KDCA,KJFK,2023-02-23 20:06:00,2023-02-23 19:57:00,RPA,2023-02-23 15:06:00,2023-02-23 14:57:00,5.0,2.0,0.0,2023-02-23,20:06:00,2023-02-23,15:06:00,
RPA4306.LGA.DCA.230222.1600.0192.TFM,KLGA,KDCA,2023-02-23 17:15:00,2023-02-23 17:43:00,RPA,2023-02-23 12:15:00,2023-02-23 12:43:00,2.0,6.0,0.0,2023-02-23,17:15:00,2023-02-23,12:15:00,
RPA4360.BOS.JFK.230222.1640.0050.TFM,KBOS,KJFK,2023-02-23 18:17:00,2023-02-23 17:59:00,RPA,2023-02-23 13:17:00,2023-02-23 12:59:00,5.0,1.0,18.0,2023-02-23,18:17:00,2023-02-23,13:17:00,
RPA3437.DCA.EWR.230222.1805.0037.TFM,KDCA,KEWR,2023-02-23 20:34:00,2023-02-23 19:31:00,RPA,2023-02-23 15:34:00,2023-02-23 14:31:00,3.0,2.0,63.0,2023-02-23,20:34:00,2023-02-23,15:34:00,
RPA4486.DCA.JFK.230221.0100.0108.TFM,KDCA,KJFK,2023-02-22 02:40:00,2023-02-22 02:24:00,RPA,2023-02-21 21:40:00,2023-02-21 21:24:00,5.0,2.0,16.0,2023-02-22,02:40:00,2023-02-21,21:40:00,
RPA4365.BOS.JFK.230221.1910.0090.TFM,KBOS,KJFK,2023-02-22 20:07:00,2023-02-22 20:29:00,RPA,2023-02-22 15:07:00,2023-02-22 15:29:00,5.0,1.0,0.0,2023-02-22,20:07:00,2023-02-22,15:07:00,0.0
