gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
DAL719.SFO.JFK.230303.2315.0156.TFM,KSFO,KJFK,2023-03-05 04:48:00,2023-03-05 04:33:00,DAL,2023-03-04 23:48:00,2023-03-04 23:33:00,7.0,11.0,0.0,2023-03-05,04:48:00,2023-03-04,23:48:00,
DAL1088.LAX.SEA.230303.1500.0050.TFM,KLAX,KSEA,2023-03-04 17:24:00,2023-03-04 17:57:00,DAL,2023-03-04 12:24:00,2023-03-04 12:57:00,10.0,8.0,0.0,2023-03-04,17:24:00,2023-03-04,12:24:00,
DAL453.LAX.JFK.230303.2045.0154.TFM,KLAX,KJFK,2023-03-05 01:42:00,2023-03-05 01:59:00,DAL,2023-03-04 20:42:00,2023-03-04 20:59:00,7.0,8.0,0.0,2023-03-05,01:42:00,2023-03-04,20:42:00,
DAL2549.ATL.IAD.230302.0320.0045.TFM,KATL,KIAD,2023-03-03 04:49:00,2023-03-03 04:57:00,DAL,2023-03-02 23:49:00,2023-03-02 23:57:00,6.0,0.0,0.0,2023-03-03,04:49:00,2023-03-02,23:49:00,
DAL395.LAX.ATL.230303.0700.0032.TFM,KLAX,KATL,2023-03-04 11:11:00,2023-03-04 11:04:00,DAL,2023-03-04 06:11:00,2023-03-04 06:04:00,0.0,8.0,0.0,2023-03-04,11:11:00,2023-03-04,06:11:00,
DAL665.DCA.ATL.230302.0000.0122.TFM,KDCA,KATL,2023-03-03 02:00:00,2023-03-03 02:00:00,DAL,2023-03-02 21:00:00,2023-03-02 21:00:00,0.0,3.0,0.0,2023-03-03,02:00:00,2023-03-02,21:00:00,
DAL735.LGA.DFW.230302.0030.0184.TFM,KLGA,KDFW,2023-03-03 07:07:00,2023-03-03 04:59:00,DAL,2023-03-03 02:07:00,2023-03-02 23:59:00,4.0,9.0,128.0,2023-03-03,07:07:00,2023-03-03,02:07:00,
DAL875.LGA.ATL.230302.0105.0091.TFM,KLGA,KATL,2023-03-03 05:48:00,2023-03-03 03:50:00,DAL,2023-03-03 00:48:00,2023-03-02 22:50:00,0.0,9.0,118.0,2023-03-03,05:48:00,2023-03-03,00:48:00,
DAL2606.LAX.SFO.230302.0000.0119.TFM,KLAX,KSFO,2023-03-03 01:14:00,2023-03-03 01:19:00,DAL,2023-03-02 20:14:00,2023-03-02 20:19:00,11.0,8.0,0.0,2023-03-03,01:14:00,2023-03-02,20:14:00,
DAL568.LAX.DFW.230302.0240.0042.TFM,KLAX,KDFW,2023-03-03 05:53:00,2023-03-03 05:37:00,DAL,2023-03-03 00:53:00,2023-03-03 00:37:00,4.0,8.0,16.0,2023-03-03,05:53:00,2023-03-03,00:53:00,
DAL490.LGA.ATL.230301.2345.0109.TFM,KLGA,KATL,2023-03-03 02:40:00,2023-03-03 02:23:00,DAL,2023-03-02 21:40:00,2023-03-02 21:23:00,0.0,9.0,17.0,2023-03-03,02:40:00,2023-03-02,21:40:00,
DAL2799.ATL.BWI.230302.0105.0066.TFM,KATL,KBWI,2023-03-03 02:43:00,2023-03-03 02:52:00,DAL,2023-03-02 21:43:00,2023-03-02 21:52:00,2.0,0.0,0.0,2023-03-03,02:43:00,2023-03-02,21:43:00,
