gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
DAL2272.SFO.LAX.230125.2135.0112.TFM,KSFO,KLAX,2023-01-26 23:06:00,2023-01-26 23:01:00,DAL,2023-01-26 18:06:00,2023-01-26 18:01:00,8.0,11.0,0.0,2023-01-26,23:06:00,2023-01-26,18:06:00,
DAL2703.SEA.SFO.230125.2145.0104.TFM,KSEA,KSFO,2023-01-26 23:40:00,2023-01-26 23:52:00,DAL,2023-01-26 18:40:00,2023-01-26 18:52:00,11.0,10.0,0.0,2023-01-26,23:40:00,2023-01-26,18:40:00,
DAL829.ATL.LAX.230125.2030.0192.TFM,KATL,KLAX,2023-01-27 01:46:00,2023-01-27 01:35:00,DAL,2023-01-26 20:46:00,2023-01-26 20:35:00,8.0,0.0,0.0,2023-01-27,01:46:00,2023-01-26,20:46:00,
DAL315.SFO.JFK.230125.0630.0044.TFM,KSFO,KJFK,2023-01-26 11:52:00,2023-01-26 11:45:00,DAL,2023-01-26 06:52:00,2023-01-26 06:45:00,7.0,11.0,0.0,2023-01-26,11:52:00,2023-01-26,06:52:00,
DAL396.LGA.ATL.230125.1850.0044.TFM,KLGA,KATL,2023-01-26 21:21:00,2023-01-26 21:31:00,DAL,2023-01-26 16:21:00,2023-01-26 16:31:00,0.0,9.0,0.0,2023-01-26,21:21:00,2023-01-26,16:21:00,
DAL864.SEA.ATL.230125.0630.0041.TFM,KSEA,KATL,2023-01-26 11:14:00,2023-01-26 11:05:00,DAL,2023-01-26 06:14:00,2023-01-26 06:05:00,0.0,10.0,0.0,2023-01-26,11:14:00,2023-01-26,06:14:00,
DAL719.SFO.JFK.230125.2315.0096.TFM,KSFO,KJFK,2023-01-27 04:45:00,2023-01-27 04:33:00,DAL,2023-01-26 23:45:00,2023-01-26 23:33:00,7.0,11.0,0.0,2023-01-27,04:45:00,2023-01-26,23:45:00,
DAL855.ATL.BOS.230125.1515.0160.TFM,KATL,KBOS,2023-01-26 17:30:00,2023-01-26 17:53:00,DAL,2023-01-26 12:30:00,2023-01-26 12:53:00,1.0,0.0,0.0,2023-01-26,17:30:00,2023-01-26,12:30:00,
DAL769.ATL.SEA.230125.2245.0075.TFM,KATL,KSEA,2023-01-27 04:30:00,2023-01-27 04:17:00,DAL,2023-01-26 23:30:00,2023-01-26 23:17:00,10.0,0.0,0.0,2023-01-27,04:30:00,2023-01-26,23:30:00,
DAL955.SFO.ATL.230125.0600.0031.TFM,KSFO,KATL,2023-01-26 10:10:00,2023-01-26 10:32:00,DAL,2023-01-26 05:10:00,2023-01-26 05:32:00,0.0,11.0,0.0,2023-01-26,10:10:00,2023-01-26,05:10:00,
