hour,airport_icao_names,cumulative_delay,edge_index
4,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[8],
        [0]])"
5,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[263.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[ 8, 11, 10],
        [ 7,  0,  0]])"
6,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 0.],
        [50.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[ 8, 10, 10, 11,  8],
        [ 0,  7,  1,  7,  1]])"
7,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[297.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[ 8,  7,  2,  6,  1, 10],
        [ 0,  1,  0,  0,  7,  0]])"
8,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[494.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [528.],
        [  0.],
        [  0.]])","tensor([[3, 8, 5, 7, 8, 4, 0, 9],
        [0, 0, 0, 0, 7, 0, 9, 0]])"
9,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[603.],
        [  0.],
        [ 22.],
        [ 72.],
        [  0.],
        [ 23.],
        [  0.],
        [  0.],
        [  0.],
        [528.],
        [  0.],
        [  0.]])","tensor([[0, 9, 5, 0, 1, 0, 3, 0, 2],
        [5, 0, 0, 2, 0, 6, 0, 3, 0]])"
10,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[603.],
        [ 50.],
        [ 22.],
        [ 72.],
        [210.],
        [ 23.],
        [  0.],
        [  0.],
        [264.],
        [603.],
        [  0.],
        [  0.]])","tensor([[ 4,  0,  0,  0,  7,  0,  9,  4,  0, 11,  9,  4,  3,  1,  0,  7,  3,  5],
        [ 8,  8,  9,  9,  4,  1,  0,  0,  7,  8,  4,  9,  0,  0,  4,  0,  0,  0]])"
11,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[227.],
        [ 50.],
        [ 40.],
        [ 72.],
        [ 18.],
        [ 23.],
        [  0.],
        [  0.],
        [264.],
        [528.],
        [  0.],
        [ 57.]])","tensor([[ 1,  1,  6,  3,  0,  8,  0,  0, 11,  0],
        [ 0,  4,  0,  0,  9, 11,  6,  2, 10,  3]])"
12,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[263.],
        [171.],
        [ 40.],
        [ 72.],
        [234.],
        [118.],
        [  0.],
        [ 17.],
        [264.],
        [603.],
        [  0.],
        [  0.]])","tensor([[10,  2,  9,  0,  8,  9, 10,  4,  0,  7,  0,  0,  0,  0,  0],
        [ 8,  0,  1,  1,  0,  0, 11,  7,  5,  8,  7,  1,  9,  5,  4]])"
13,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[603.],
        [ 76.],
        [ 22.],
        [ 51.],
        [234.],
        [118.],
        [  0.],
        [ 17.],
        [296.],
        [603.],
        [  0.],
        [ 57.]])","tensor([[ 7,  2,  7,  5,  0,  4,  0, 10, 11,  0,  0,  0, 11,  8,  8,  0,  8,  1,
          0,  9],
        [11,  0, 10,  0,  3,  0, 11,  0,  0,  9,  1,  8,  8, 10,  0,  2, 11,  0,
         10,  0]])"
