gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
DAL31.ATL.DFW.230307.0315.0027.TFM,KATL,KDFW,2023-03-08 05:34:00,2023-03-08 05:36:00,DAL,2023-03-08 00:34:00,2023-03-08 00:36:00,4.0,0.0,0.0,2023-03-08,05:34:00,2023-03-08,00:34:00,
DAL1465.BOS.SEA.230306.2330.0094.TFM,KBOS,KSEA,2023-03-08 06:09:00,2023-03-08 06:12:00,DAL,2023-03-08 01:09:00,2023-03-08 01:12:00,10.0,1.0,0.0,2023-03-08,06:09:00,2023-03-08,01:09:00,
DAL1122.SEA.SFO.230307.0425.0013.TFM,KSEA,KSFO,2023-03-08 06:16:00,2023-03-08 06:30:00,DAL,2023-03-08 01:16:00,2023-03-08 01:30:00,11.0,10.0,0.0,2023-03-08,06:16:00,2023-03-08,01:16:00,
DAL1703.SEA.LAX.230306.2345.0080.TFM,KSEA,KLAX,2023-03-08 02:14:00,2023-03-08 02:19:00,DAL,2023-03-07 21:14:00,2023-03-07 21:19:00,8.0,10.0,0.0,2023-03-08,02:14:00,2023-03-07,21:14:00,
DAL2985.LAX.SFO.230307.0545.0013.TFM,KLAX,KSFO,2023-03-08 06:49:00,2023-03-08 07:05:00,DAL,2023-03-08 01:49:00,2023-03-08 02:05:00,11.0,8.0,0.0,2023-03-08,06:49:00,2023-03-08,01:49:00,
DAL2902.IAD.ATL.230307.0005.0259.TFM,KIAD,KATL,2023-03-08 01:51:00,2023-03-08 01:52:00,DAL,2023-03-07 20:51:00,2023-03-07 20:52:00,0.0,6.0,0.0,2023-03-08,01:51:00,2023-03-07,20:51:00,
DAL665.DCA.ATL.230307.0000.0119.TFM,KDCA,KATL,2023-03-08 01:54:00,2023-03-08 02:00:00,DAL,2023-03-07 20:54:00,2023-03-07 21:00:00,0.0,3.0,0.0,2023-03-08,01:54:00,2023-03-07,20:54:00,
DAL1312.SEA.LAX.230307.0400.0105.TFM,KSEA,KLAX,2023-03-08 06:37:00,2023-03-08 06:40:00,DAL,2023-03-08 01:37:00,2023-03-08 01:40:00,8.0,10.0,0.0,2023-03-08,06:37:00,2023-03-08,01:37:00,
DAL741.ATL.SEA.230307.0215.0115.TFM,KATL,KSEA,2023-03-08 07:43:00,2023-03-08 07:47:00,DAL,2023-03-08 02:43:00,2023-03-08 02:47:00,10.0,0.0,0.0,2023-03-08,07:43:00,2023-03-08,02:43:00,
DAL735.LGA.DFW.230307.0030.0159.TFM,KLGA,KDFW,2023-03-08 04:54:00,2023-03-08 04:59:00,DAL,2023-03-07 23:54:00,2023-03-07 23:59:00,4.0,9.0,0.0,2023-03-08,04:54:00,2023-03-07,23:54:00,
DAL2549.ATL.IAD.230307.0110.0021.TFM,KATL,KIAD,2023-03-08 02:54:00,2023-03-08 02:49:00,DAL,2023-03-07 21:54:00,2023-03-07 21:49:00,6.0,0.0,0.0,2023-03-08,02:54:00,2023-03-07,21:54:00,
DAL715.ATL.LAX.230307.0255.0083.TFM,KATL,KLAX,2023-03-08 07:57:00,2023-03-08 07:57:00,DAL,2023-03-08 02:57:00,2023-03-08 02:57:00,8.0,0.0,0.0,2023-03-08,07:57:00,2023-03-08,02:57:00,
DAL2488.LGA.ATL.230307.0220.0102.TFM,KLGA,KATL,2023-03-08 04:42:00,2023-03-08 04:59:00,DAL,2023-03-07 23:42:00,2023-03-07 23:59:00,0.0,9.0,0.0,2023-03-08,04:42:00,2023-03-07,23:42:00,
