hour,airport_icao_names,cumulative_delay,edge_index
4,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[54.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[ 7,  8],
        [11,  0]])"
5,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 54.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [249.],
        [  0.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[ 8,  8, 10],
        [ 0,  7,  0]])"
6,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[54.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[11, 10, 10],
        [ 7,  7,  1]])"
7,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 36.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [249.],
        [  0.],
        [ 40.],
        [  0.],
        [  0.]])","tensor([[8, 6, 3, 2, 1, 1, 0],
        [0, 0, 0, 0, 7, 9, 9]])"
8,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 36.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [249.],
        [  0.],
        [ 40.],
        [  0.],
        [  0.]])","tensor([[0, 8, 1, 7, 9, 3, 4],
        [6, 0, 0, 0, 0, 0, 0]])"
9,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 36.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [249.],
        [  0.],
        [ 40.],
        [  0.],
        [  0.]])","tensor([[2, 4, 0, 0, 0, 0, 0, 3, 0, 9, 9, 5],
        [0, 0, 4, 1, 2, 3, 9, 0, 5, 4, 0, 0]])"
10,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 36.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [249.],
        [110.],
        [  0.],
        [  0.],
        [ 22.]])","tensor([[ 4,  0, 11,  8,  0,  5,  1,  0,  3,  9,  4,  0],
        [ 9,  9,  8, 11,  8,  0,  4,  2,  0,  0,  8,  7]])"
11,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 36.],
        [336.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [249.],
        [110.],
        [ 40.],
        [ 18.],
        [ 22.]])","tensor([[ 0,  6,  0,  1,  0,  0,  7,  3,  7, 11,  0,  0],
        [ 3,  0,  6,  0,  9,  5,  4,  0,  0, 10,  1,  4]])"
12,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 54.],
        [319.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [232.],
        [ 50.],
        [ 40.],
        [ 18.],
        [  0.]])","tensor([[ 0, 11,  9, 10,  1,  0,  0, 10,  9,  4,  0,  2,  0,  5,  7,  8,  8],
        [ 5,  8,  0, 11,  0,  1,  7,  8,  4,  0,  3,  0,  9,  0,  1, 10,  0]])"
13,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 54.],
        [336.],
        [  0.],
        [165.],
        [  0.],
        [  0.],
        [  0.],
        [232.],
        [ 68.],
        [ 40.],
        [ 18.],
        [ 22.]])","tensor([[ 8,  0,  2, 10,  8, 11,  7,  0,  7,  0,  7,  0,  0,  0,  0,  1,  1],
        [ 0,  8,  0,  0, 11,  0, 11, 11,  8, 10, 10,  9,  2,  1,  3, 10,  0]])"
14,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 36.],
        [336.],
        [  0.],
        [165.],
        [  0.],
        [  0.],
        [  0.],
        [175.],
        [ 90.],
        [ 40.],
        [ 18.],
        [ 22.]])","tensor([[11,  9,  3,  0,  5,  8,  4,  6,  8,  1,  0, 10,  7,  1,  4],
        [ 7,  0,  0,  9,  0,  7,  0,  0,  4, 11,  8,  0,  0,  8,  9]])"
15,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 54.],
        [336.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [249.],
        [223.],
        [  0.],
        [ 18.],
        [ 22.]])","tensor([[ 0, 11,  1,  0,  4,  9,  8,  8,  8, 10,  8,  0,  0,  8,  0,  7,  8,  7,
          3, 10, 10,  0, 11,  0,  0, 11],
        [10,  8,  0,  9,  7,  0,  3, 11,  0,  7, 10,  6,  4,  7,  2, 11,  1,  1,
          0,  1,  8, 11, 10,  7,  1,  0]])"
16,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 54.],
        [336.],
        [  0.],
        [165.],
        [  0.],
        [  0.],
        [  0.],
        [232.],
        [ 50.],
        [  0.],
        [ 18.],
        [ 22.]])","tensor([[ 9,  0,  7,  7,  0,  0,  3,  4,  7,  2,  1,  9,  0,  5,  0],
        [ 0,  2,  8,  8,  5,  8,  0,  7, 11,  0,  0,  4,  3,  0,  1]])"
17,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 54.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [249.],
        [  0.],
        [  0.],
        [ 18.],
        [ 22.]])","tensor([[ 4, 10,  0,  0,  0,  1,  0,  9,  8,  0,  8,  0],
        [ 1,  8,  9,  3,  6,  7,  4,  0,  0, 10, 10,  5]])"
18,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 54.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [249.],
        [223.],
        [ 40.],
        [ 18.],
        [ 22.]])","tensor([[ 7,  0,  1,  9,  1,  4,  0,  6,  0,  2, 11],
        [ 8,  1,  0,  0,  9,  0,  9,  0,  8,  0,  8]])"
19,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 54.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [249.],
        [223.],
        [ 40.],
        [  0.],
        [ 22.]])","tensor([[ 7,  8,  1,  9,  1,  0,  7,  9,  0,  0, 11, 10, 11,  3,  0,  8],
        [ 0, 10,  4,  0,  0,  3,  0,  4,  5,  4,  0,  0,  7,  0, 11, 11]])"
