gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
DAL875.LGA.ATL.230123.0100.0071.TFM,KLGA,KATL,2023-01-24 03:49:00,2023-01-24 03:45:00,DAL,2023-01-23 22:49:00,2023-01-23 22:45:00,0.0,9.0,0.0,2023-01-24,03:49:00,2023-01-23,22:49:00,
DAL818.ATL.DFW.230123.0400.0035.TFM,KATL,KDFW,2023-01-24 06:04:00,2023-01-24 06:16:00,DAL,2023-01-24 01:04:00,2023-01-24 01:16:00,4.0,0.0,0.0,2023-01-24,06:04:00,2023-01-24,01:04:00,
DAL568.LAX.DFW.230123.0240.0060.TFM,KLAX,KDFW,2023-01-24 05:30:00,2023-01-24 05:37:00,DAL,2023-01-24 00:30:00,2023-01-24 00:37:00,4.0,8.0,0.0,2023-01-24,05:30:00,2023-01-24,00:30:00,
DAL2703.SFO.SEA.230123.0050.0133.TFM,KSFO,KSEA,2023-01-24 03:02:00,2023-01-24 03:04:00,DAL,2023-01-23 22:02:00,2023-01-23 22:04:00,10.0,11.0,0.0,2023-01-24,03:02:00,2023-01-23,22:02:00,
DAL713.BOS.LAX.230123.0005.0110.TFM,KBOS,KLAX,2023-01-24 06:40:00,2023-01-24 06:45:00,DAL,2023-01-24 01:40:00,2023-01-24 01:45:00,8.0,1.0,0.0,2023-01-24,06:40:00,2023-01-24,01:40:00,
DAL1386.BOS.JFK.230123.0130.0133.TFM,KBOS,KJFK,2023-01-24 04:03:00,2023-01-24 03:00:00,DAL,2023-01-23 23:03:00,2023-01-23 22:00:00,7.0,1.0,63.0,2023-01-24,04:03:00,2023-01-23,23:03:00,
DAL2985.LAX.SFO.230123.0545.0038.TFM,KLAX,KSFO,2023-01-24 06:49:00,2023-01-24 07:05:00,DAL,2023-01-24 01:49:00,2023-01-24 02:05:00,11.0,8.0,0.0,2023-01-24,06:49:00,2023-01-24,01:49:00,
DAL963.BOS.ATL.230123.0300.0074.TFM,KBOS,KATL,2023-01-24 06:38:00,2023-01-24 05:59:00,DAL,2023-01-24 01:38:00,2023-01-24 00:59:00,0.0,1.0,39.0,2023-01-24,06:38:00,2023-01-24,01:38:00,
DAL353.LAX.JFK.230123.0040.0062.TFM,KLAX,KJFK,2023-01-24 05:52:00,2023-01-24 05:55:00,DAL,2023-01-24 00:52:00,2023-01-24 00:55:00,7.0,8.0,0.0,2023-01-24,05:52:00,2023-01-24,00:52:00,
DAL540.BOS.ATL.230123.1315.0113.TFM,KBOS,KATL,2023-01-24 16:38:00,2023-01-24 16:23:00,DAL,2023-01-24 11:38:00,2023-01-24 11:23:00,0.0,1.0,0.0,2023-01-24,16:38:00,2023-01-24,11:38:00,0.0
DAL360.ATL.BOS.230122.2315.0130.TFM,KATL,KBOS,2023-01-24 02:28:00,2023-01-24 01:49:00,DAL,2023-01-23 21:28:00,2023-01-23 20:49:00,1.0,0.0,39.0,2023-01-24,02:28:00,2023-01-23,21:28:00,
