,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
478,DAL735.LGA.DFW.230228.0030.0112.TFM,KLGA,KDFW,2023-03-01 04:45:00,2023-03-01 04:59:00,DAL
479,DAL356.ATL.DCA.230228.0055.0060.TFM,KATL,KDCA,2023-03-01 02:42:00,2023-03-01 02:36:00,DAL
480,DAL950.ATL.SFO.230228.0100.0112.TFM,KATL,KSFO,2023-03-01 06:43:00,2023-03-01 06:26:00,DAL
481,DAL1433.LGA.BOS.230228.0300.0152.TFM,KLGA,KBOS,2023-03-01 04:26:00,2023-03-01 04:07:00,DAL
482,DAL1551.LAX.SEA.230228.0330.0110.TFM,KLAX,KSEA,2023-03-01 06:16:00,2023-03-01 06:22:00,DAL
483,DAL1122.SEA.SFO.230228.0425.0024.TFM,KSEA,KSFO,2023-03-01 06:23:00,2023-03-01 06:30:00,DAL
484,DAL2549.ATL.IAD.230228.0110.0043.TFM,KATL,KIAD,2023-03-01 02:47:00,2023-03-01 02:49:00,DAL
485,DAL687.DCA.ATL.230228.0200.0136.TFM,KDCA,KATL,2023-03-01 03:41:00,2023-03-01 04:00:00,DAL
486,DAL2606.SFO.LAX.230228.0125.0064.TFM,KSFO,KLAX,2023-03-01 02:43:00,2023-03-01 02:58:00,DAL
487,DAL1574.BOS.LGA.230228.0315.0039.TFM,KBOS,KLGA,2023-03-01 04:49:00,2023-03-01 04:44:00,DAL
488,DAL2488.LGA.ATL.230228.0220.0044.TFM,KLGA,KATL,2023-03-01 05:28:00,2023-03-01 04:59:00,DAL
489,DAL2464.ATL.JFK.230228.0245.0094.TFM,KATL,KJFK,2023-03-01 04:54:00,2023-03-01 04:59:00,DAL
490,DAL2294.ATL.BWI.230228.0325.0019.TFM,KATL,KBWI,2023-03-01 04:57:00,2023-03-01 05:10:00,DAL
491,DAL2054.SFO.LAX.230228.0320.0027.TFM,KSFO,KLAX,2023-03-01 04:46:00,2023-03-01 04:49:00,DAL
492,DAL519.ATL.DCA.230228.0325.0017.TFM,KATL,KDCA,2023-03-01 04:46:00,2023-03-01 04:59:00,DAL
493,DAL2054.LAX.SFO.230228.0100.0186.TFM,KLAX,KSFO,2023-03-01 02:12:00,2023-03-01 02:20:00,DAL
494,DAL487.ATL.LGA.230228.0245.0088.TFM,KATL,KLGA,2023-03-01 04:44:00,2023-03-01 04:55:00,DAL
495,DAL1408.LGA.BOS.230228.0100.0177.TFM,KLGA,KBOS,2023-03-01 03:11:00,2023-03-01 02:19:00,DAL
496,DAL1386.BOS.JFK.230228.0155.0056.TFM,KBOS,KJFK,2023-03-01 04:06:00,2023-03-01 03:22:00,DAL
497,DAL31.ATL.DFW.230228.0315.0055.TFM,KATL,KDFW,2023-03-01 05:32:00,2023-03-01 05:36:00,DAL
498,DAL2727.ATL.EWR.230228.0020.0090.TFM,KATL,KEWR,2023-03-01 02:22:00,2023-03-01 02:30:00,DAL
499,DAL568.LAX.DFW.230228.0240.0088.TFM,KLAX,KDFW,2023-03-01 06:00:00,2023-03-01 05:37:00,DAL
500,DAL2346.ATL.IAD.230228.1900.0190.TFM,KATL,KIAD,2023-03-01 20:40:00,2023-03-01 20:38:00,DAL
501,DAL973.BOS.ATL.230228.0045.0099.TFM,KBOS,KATL,2023-03-01 03:23:00,2023-03-01 03:52:00,DAL
502,DAL353.LAX.JFK.230228.0040.0048.TFM,KLAX,KJFK,2023-03-01 05:49:00,2023-03-01 05:55:00,DAL
503,DAL399.ATL.LGA.230228.0145.0030.TFM,KATL,KLGA,2023-03-01 03:42:00,2023-03-01 03:55:00,DAL
504,DAL2776.ATL.EWR.230228.0325.0016.TFM,KATL,KEWR,2023-03-01 05:30:00,2023-03-01 05:26:00,DAL
505,DAL1357.BOS.JFK.230227.2115.0091.TFM,KBOS,KJFK,2023-03-01 02:45:00,2023-02-28 22:45:00,DAL
