hour,airport_icao_names,cumulative_delay,edge_index
16,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1786.],
        [ 983.],
        [   0.],
        [ 398.],
        [ 468.],
        [ 150.],
        [  72.],
        [  83.],
        [ 520.],
        [1570.],
        [   0.],
        [ 150.]])","tensor([[ 0,  2,  9,  5,  8,  0, 10,  0,  8,  4,  7],
        [ 1,  0,  0,  0, 10,  8,  8,  5,  3,  1,  8]])"
17,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1786.],
        [ 983.],
        [ 105.],
        [  29.],
        [ 434.],
        [ 150.],
        [  72.],
        [  34.],
        [ 520.],
        [1092.],
        [   0.],
        [ 123.]])","tensor([[ 0,  7,  1,  1,  0,  0, 11,  8,  8,  0, 10,  0,  9,  9,  0],
        [ 3, 11,  7, 10, 10,  9,  8, 11, 10,  4,  8,  2,  1,  4, 11]])"
18,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2859.],
        [ 951.],
        [ 105.],
        [ 127.],
        [ 434.],
        [ 150.],
        [  72.],
        [  34.],
        [ 520.],
        [1092.],
        [   0.],
        [   0.]])","tensor([[ 9,  0, 10,  0,  0,  8,  7,  7],
        [ 0,  3, 11, 11,  1,  0,  8,  0]])"
19,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2400.],
        [ 951.],
        [  85.],
        [ 127.],
        [ 358.],
        [  39.],
        [  72.],
        [  52.],
        [ 238.],
        [1652.],
        [  17.],
        [   0.]])","tensor([[ 0,  0,  1,  7,  4,  8,  1,  0, 10,  0,  0,  8,  0, 11,  0,  8],
        [ 5,  8,  9,  8,  0,  7,  4,  7,  0,  6, 10,  4,  2,  0,  9, 10]])"
20,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2196.],
        [ 951.],
        [  85.],
        [ 207.],
        [ 468.],
        [  39.],
        [  72.],
        [  83.],
        [ 520.],
        [1652.],
        [  17.],
        [  51.]])","tensor([[ 5,  4,  8,  8,  2,  0,  0, 11, 11,  9],
        [ 0,  0, 11,  0,  0,  3,  4,  7,  8,  4]])"
21,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2553.],
        [ 983.],
        [  85.],
        [ 398.],
        [ 468.],
        [  39.],
        [  72.],
        [  83.],
        [ 520.],
        [1570.],
        [   0.],
        [  51.]])","tensor([[11,  6,  3,  0,  3,  4,  9,  1,  8, 10,  9,  8,  4,  0],
        [10,  0,  0,  3,  0,  9,  0,  8,  1,  8,  0, 11,  9,  3]])"
22,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2826.],
        [ 215.],
        [  19.],
        [ 398.],
        [   0.],
        [  39.],
        [  72.],
        [  83.],
        [ 520.],
        [1570.],
        [  17.],
        [  51.]])","tensor([[ 8,  9,  7,  9,  0, 10,  1, 11,  2, 11, 11,  7,  0, 10,  0,  0,  1,  0,
          2,  7,  1],
        [ 7,  0,  4,  1,  8,  0,  0,  1,  0,  8,  0,  8, 11,  8,  2,  5,  7,  8,
          0, 10,  0]])"
23,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2587.],
        [ 983.],
        [  19.],
        [ 149.],
        [   0.],
        [ 150.],
        [  72.],
        [ 118.],
        [ 520.],
        [1365.],
        [  17.],
        [  51.]])","tensor([[ 0,  4,  9,  0,  7,  1,  3,  5,  4, 11,  0,  0,  6, 11,  7,  7,  0,  3,
          8],
        [ 1,  8,  4,  3,  1,  0,  8,  0,  0,  8,  5, 10,  0,  7,  8, 11,  9,  0,
          7]])"
24,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2342.],
        [  57.],
        [  19.],
        [ 149.],
        [   0.],
        [  39.],
        [  72.],
        [  83.],
        [ 520.],
        [1194.],
        [   0.],
        [  51.]])","tensor([[10,  8,  7,  1,  0,  0, 11,  7,  8,  0,  0, 10],
        [ 1,  0, 10, 10,  9,  5,  0,  0,  0,  9,  6,  7]])"
25,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2342.],
        [  57.],
        [ 171.],
        [ 285.],
        [   0.],
        [  39.],
        [  72.],
        [  83.],
        [ 520.],
        [1194.],
        [  17.],
        [   0.]])","tensor([[10,  7,  1,  0, 10,  0,  0,  8],
        [11,  8,  8,  8,  8,  3,  2, 10]])"
26,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2750.],
        [  57.],
        [ 171.],
        [ 285.],
        [  94.],
        [  39.],
        [  72.],
        [  83.],
        [ 520.],
        [1194.],
        [  17.],
        [   0.]])","tensor([[0, 9],
        [4, 0]])"
27,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2750.],
        [1124.],
        [ 171.],
        [ 285.],
        [ 622.],
        [  39.],
        [  72.],
        [ 300.],
        [ 872.],
        [1194.],
        [  38.],
        [   0.]])","tensor([[ 8,  0,  0,  0,  0,  0],
        [ 4,  8, 10,  7,  1,  8]])"
