gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
RPA4326.DCA.ATL.230228.2300.0148.TFM,KDCA,KATL,2023-03-02 00:54:00,2023-03-02 01:00:00,RPA,2023-03-01 19:54:00,2023-03-01 20:00:00,0.0,2.0,0.0,2023-03-02,00:54:00,2023-03-01,19:54:00,0.0
RPA4668.DCA.JFK.230228.1840.0085.TFM,KDCA,KJFK,2023-03-01 19:42:00,2023-03-01 19:59:00,RPA,2023-03-01 14:42:00,2023-03-01 14:59:00,5.0,2.0,0.0,2023-03-01,19:42:00,2023-03-01,14:42:00,0.0
RPA4399.LGA.DCA.230301.1900.0109.TFM,KLGA,KDCA,2023-03-02 20:19:00,2023-03-02 20:25:00,RPA,2023-03-02 15:19:00,2023-03-02 15:25:00,2.0,6.0,0.0,2023-03-02,20:19:00,2023-03-02,15:19:00,
RPA4806.BOS.DCA.230228.1730.0144.TFM,KBOS,KDCA,2023-03-01 19:12:00,2023-03-01 19:19:00,RPA,2023-03-01 14:12:00,2023-03-01 14:19:00,2.0,1.0,0.0,2023-03-01,19:12:00,2023-03-01,14:12:00,16.0
RPA4368.JFK.BOS.230228.1711.0079.TFM,KJFK,KBOS,2023-03-01 18:13:00,2023-03-01 18:26:00,RPA,2023-03-01 13:13:00,2023-03-01 13:26:00,1.0,5.0,0.0,2023-03-01,18:13:00,2023-03-01,13:13:00,0.0
RPA3601.ATL.EWR.230228.1450.0076.TFM,KATL,KEWR,2023-03-01 16:48:00,2023-03-01 17:06:00,RPA,2023-03-01 11:48:00,2023-03-01 12:06:00,3.0,0.0,0.0,2023-03-01,16:48:00,2023-03-01,11:48:00,0.0
RPA4560.JFK.DCA.230228.2050.0058.TFM,KJFK,KDCA,2023-03-01 22:15:00,2023-03-01 22:26:00,RPA,2023-03-01 17:15:00,2023-03-01 17:26:00,2.0,5.0,0.0,2023-03-01,22:15:00,2023-03-01,17:15:00,16.0
RPA3469.EWR.DCA.230301.0150.0114.TFM,KEWR,KDCA,2023-03-02 03:08:00,2023-03-02 03:13:00,RPA,2023-03-01 22:08:00,2023-03-01 22:13:00,2.0,3.0,0.0,2023-03-02,03:08:00,2023-03-01,22:08:00,16.0
RPA4781.DCA.JFK.230301.2155.0040.TFM,KDCA,KJFK,2023-03-02 23:34:00,2023-03-02 23:27:00,RPA,2023-03-02 18:34:00,2023-03-02 18:27:00,5.0,2.0,0.0,2023-03-02,23:34:00,2023-03-02,18:34:00,
RPA4500.JFK.DCA.230301.1230.0066.TFM,KJFK,KDCA,2023-03-02 14:13:00,2023-03-02 14:07:00,RPA,2023-03-02 09:13:00,2023-03-02 09:07:00,2.0,5.0,0.0,2023-03-02,14:13:00,2023-03-02,09:13:00,
RPA4368.JFK.BOS.230301.1710.0038.TFM,KJFK,KBOS,2023-03-02 18:37:00,2023-03-02 18:26:00,RPA,2023-03-02 13:37:00,2023-03-02 13:26:00,1.0,5.0,0.0,2023-03-02,18:37:00,2023-03-02,13:37:00,
RPA3601.ATL.EWR.230301.1450.0056.TFM,KATL,KEWR,2023-03-02 16:54:00,2023-03-02 17:06:00,RPA,2023-03-02 11:54:00,2023-03-02 12:06:00,3.0,0.0,0.0,2023-03-02,16:54:00,2023-03-02,11:54:00,
RPA4518.DCA.ATL.230301.1105.0088.TFM,KDCA,KATL,2023-03-02 13:43:00,2023-03-02 13:19:00,RPA,2023-03-02 08:43:00,2023-03-02 08:19:00,0.0,2.0,24.0,2023-03-02,13:43:00,2023-03-02,08:43:00,
RPA3437.DCA.EWR.230301.1805.0153.TFM,KDCA,KEWR,2023-03-02 19:14:00,2023-03-02 19:31:00,RPA,2023-03-02 14:14:00,2023-03-02 14:31:00,3.0,2.0,0.0,2023-03-02,19:14:00,2023-03-02,14:14:00,
RPA3443.DCA.EWR.230301.1100.0191.TFM,KDCA,KEWR,2023-03-02 12:15:00,2023-03-02 12:26:00,RPA,2023-03-02 07:15:00,2023-03-02 07:26:00,3.0,2.0,0.0,2023-03-02,12:15:00,2023-03-02,07:15:00,
RPA3656.EWR.IAD.230301.2200.0167.TFM,KEWR,KIAD,2023-03-02 23:15:00,2023-03-02 23:20:00,RPA,2023-03-02 18:15:00,2023-03-02 18:20:00,4.0,3.0,0.0,2023-03-02,23:15:00,2023-03-02,18:15:00,
RPA4551.DCA.LGA.230301.1400.0181.TFM,KDCA,KLGA,2023-03-02 15:43:00,2023-03-02 15:31:00,RPA,2023-03-02 10:43:00,2023-03-02 10:31:00,6.0,2.0,0.0,2023-03-02,15:43:00,2023-03-02,10:43:00,
RPA4560.JFK.DCA.230301.2050.0117.TFM,KJFK,KDCA,2023-03-02 22:26:00,2023-03-02 22:26:00,RPA,2023-03-02 17:26:00,2023-03-02 17:26:00,2.0,5.0,0.0,2023-03-02,22:26:00,2023-03-02,17:26:00,
RPA4591.DCA.LGA.230301.2106.0031.TFM,KDCA,KLGA,2023-03-02 22:11:00,2023-03-02 22:24:00,RPA,2023-03-02 17:11:00,2023-03-02 17:24:00,6.0,2.0,0.0,2023-03-02,22:11:00,2023-03-02,17:11:00,
RPA3602.EWR.ATL.230301.1115.0068.TFM,KEWR,KATL,2023-03-02 13:54:00,2023-03-02 13:53:00,RPA,2023-03-02 08:54:00,2023-03-02 08:53:00,0.0,3.0,0.0,2023-03-02,13:54:00,2023-03-02,08:54:00,
RPA3480.EWR.DCA.230301.1530.0045.TFM,KEWR,KDCA,2023-03-02 17:13:00,2023-03-02 16:52:00,RPA,2023-03-02 12:13:00,2023-03-02 11:52:00,2.0,3.0,21.0,2023-03-02,17:13:00,2023-03-02,12:13:00,
RPA4367.DCA.BOS.230301.2000.0058.TFM,KDCA,KBOS,2023-03-02 21:42:00,2023-03-02 21:42:00,RPA,2023-03-02 16:42:00,2023-03-02 16:42:00,1.0,2.0,0.0,2023-03-02,21:42:00,2023-03-02,16:42:00,
RPA4383.DCA.LGA.230301.1800.0138.TFM,KDCA,KLGA,2023-03-02 19:38:00,2023-03-02 19:18:00,RPA,2023-03-02 14:38:00,2023-03-02 14:18:00,6.0,2.0,20.0,2023-03-02,19:38:00,2023-03-02,14:38:00,
RPA4383.LGA.DCA.230301.2000.0052.TFM,KLGA,KDCA,2023-03-02 21:14:00,2023-03-02 21:35:00,RPA,2023-03-02 16:14:00,2023-03-02 16:35:00,2.0,6.0,0.0,2023-03-02,21:14:00,2023-03-02,16:14:00,
RPA3517.EWR.DCA.230301.2130.0084.TFM,KEWR,KDCA,2023-03-02 22:45:00,2023-03-02 22:52:00,RPA,2023-03-02 17:45:00,2023-03-02 17:52:00,2.0,3.0,0.0,2023-03-02,22:45:00,2023-03-02,17:45:00,
RPA4490.ATL.LGA.230301.1100.0293.TFM,KATL,KLGA,2023-03-02 13:07:00,2023-03-02 13:14:00,RPA,2023-03-02 08:07:00,2023-03-02 08:14:00,6.0,0.0,0.0,2023-03-02,13:07:00,2023-03-02,08:07:00,
RPA4806.BOS.DCA.230301.1730.0079.TFM,KBOS,KDCA,2023-03-02 19:14:00,2023-03-02 19:19:00,RPA,2023-03-02 14:14:00,2023-03-02 14:19:00,2.0,1.0,0.0,2023-03-02,19:14:00,2023-03-02,14:14:00,
RPA4802.ATL.DCA.230301.2145.0158.TFM,KATL,KDCA,2023-03-02 23:15:00,2023-03-02 23:39:00,RPA,2023-03-02 18:15:00,2023-03-02 18:39:00,2.0,0.0,0.0,2023-03-02,23:15:00,2023-03-02,18:15:00,
