hour,airport_icao_names,cumulative_delay,edge_index
4,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[797.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[8],
        [0]])"
5,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[797.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[ 8, 11,  8],
        [ 0,  0,  7]])"
6,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[797.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [ 18.],
        [  0.],
        [  0.],
        [  0.],
        [122.]])","tensor([[ 7, 10, 11],
        [11,  0,  7]])"
7,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[797.],
        [ 96.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [ 18.],
        [  0.],
        [  0.],
        [  0.],
        [122.]])","tensor([[ 8, 10, 10,  2,  1,  3,  7],
        [ 0,  1,  7,  0,  7,  0,  1]])"
8,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[932.],
        [ 96.],
        [  0.],
        [ 34.],
        [  0.],
        [  0.],
        [  0.],
        [ 18.],
        [  0.],
        [ 31.],
        [  0.],
        [122.]])","tensor([[1, 9, 6, 5, 0, 1, 4, 3, 0],
        [9, 0, 0, 0, 9, 0, 0, 0, 3]])"
9,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[932.],
        [  0.],
        [  0.],
        [ 34.],
        [  0.],
        [  0.],
        [  0.],
        [ 18.],
        [  0.],
        [ 31.],
        [  0.],
        [122.]])","tensor([[0, 0, 0, 0, 0, 4, 2, 7, 9, 4, 5],
        [1, 6, 9, 2, 5, 9, 0, 0, 0, 0, 0]])"
10,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[932.],
        [  0.],
        [  0.],
        [ 34.],
        [ 62.],
        [  0.],
        [  0.],
        [ 18.],
        [272.],
        [ 92.],
        [  0.],
        [  0.]])","tensor([[ 8,  5,  0,  9,  3, 11,  0,  4,  3,  0],
        [11,  0,  7,  4,  0,  8,  4,  8,  0,  9]])"
11,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[932.],
        [267.],
        [  0.],
        [  0.],
        [ 62.],
        [  0.],
        [ 21.],
        [ 18.],
        [ 66.],
        [  0.],
        [ 46.],
        [  0.]])","tensor([[ 0,  0,  0,  0,  9,  7,  3, 11,  0,  0,  1,  1,  0,  6,  7],
        [ 3,  9,  5,  8,  0,  4,  0, 10,  1,  6,  0,  4,  4,  0,  0]])"
12,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1295.],
        [  16.],
        [   0.],
        [   0.],
        [  62.],
        [   0.],
        [  21.],
        [   0.],
        [ 411.],
        [  92.],
        [  46.],
        [ 170.]])","tensor([[10,  0,  0,  0,  5,  9,  8,  2,  1, 11, 10,  0,  8],
        [11,  7,  1,  2,  0,  0, 11,  0,  0,  8,  8,  9,  0]])"
13,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1295.],
        [   0.],
        [   0.],
        [  16.],
        [ 116.],
        [   0.],
        [  21.],
        [   0.],
        [ 364.],
        [  92.],
        [ 551.],
        [ 170.]])","tensor([[ 8, 10,  0,  0,  0,  0,  7,  0,  8,  9,  0,  7,  1,  4, 11,  8,  9,  0],
        [ 7,  0,  3,  1,  3, 10, 11, 11,  0,  0,  5,  8, 10,  0,  0, 10,  4,  9]])"
