gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
UAL2187.SFO.BOS.230228.1625.0096.TFM,KSFO,KBOS,2023-03-01 21:46:00,2023-03-01 22:00:00,UAL,2023-03-01 16:46:00,2023-03-01 17:00:00,1.0,9.0,0.0,2023-03-01,21:46:00,2023-03-01,16:46:00,0.0
UAL2102.DFW.EWR.230301.0200.0186.TFM,KDFW,KEWR,2023-03-02 05:06:00,2023-03-02 05:15:00,UAL,2023-03-02 00:06:00,2023-03-02 00:15:00,5.0,4.0,0.0,2023-03-02,05:06:00,2023-03-02,00:06:00,0.0
UAL1654.LAX.BOS.230228.1620.0140.TFM,KLAX,KBOS,2023-03-01 21:05:00,2023-03-01 21:40:00,UAL,2023-03-01 16:05:00,2023-03-01 16:40:00,1.0,7.0,0.0,2023-03-01,21:05:00,2023-03-01,16:05:00,0.0
UAL1991.EWR.SFO.230228.1500.0295.TFM,KEWR,KSFO,2023-03-01 20:55:00,2023-03-01 21:15:00,UAL,2023-03-01 15:55:00,2023-03-01 16:15:00,9.0,5.0,0.0,2023-03-01,20:55:00,2023-03-01,15:55:00,0.0
UAL215.LAX.SFO.230301.0015.0109.TFM,KLAX,KSFO,2023-03-02 01:31:00,2023-03-02 01:45:00,UAL,2023-03-01 20:31:00,2023-03-01 20:45:00,9.0,7.0,0.0,2023-03-02,01:31:00,2023-03-01,20:31:00,0.0
UAL1911.IAD.EWR.230228.1740.0031.TFM,KIAD,KEWR,2023-03-01 18:43:00,2023-03-01 19:00:00,UAL,2023-03-01 13:43:00,2023-03-01 14:00:00,5.0,6.0,0.0,2023-03-01,18:43:00,2023-03-01,13:43:00,0.0
UAL358.DFW.IAD.230228.1810.0068.TFM,KDFW,KIAD,2023-03-01 20:32:00,2023-03-01 20:54:00,UAL,2023-03-01 15:32:00,2023-03-01 15:54:00,6.0,4.0,0.0,2023-03-01,20:32:00,2023-03-01,15:32:00,0.0
UAL651.IAD.ATL.230228.1755.0028.TFM,KIAD,KATL,2023-03-01 19:38:00,2023-03-01 19:53:00,UAL,2023-03-01 14:38:00,2023-03-01 14:53:00,0.0,6.0,0.0,2023-03-01,19:38:00,2023-03-01,14:38:00,0.0
UAL320.ATL.IAD.230228.1430.0092.TFM,KATL,KIAD,2023-03-01 16:06:00,2023-03-01 16:16:00,UAL,2023-03-01 11:06:00,2023-03-01 11:16:00,6.0,0.0,0.0,2023-03-01,16:06:00,2023-03-01,11:06:00,0.0
UAL2245.EWR.SEA.230228.1145.0074.TFM,KEWR,KSEA,2023-03-01 17:40:00,2023-03-01 17:54:00,UAL,2023-03-01 12:40:00,2023-03-01 12:54:00,8.0,5.0,0.0,2023-03-01,17:40:00,2023-03-01,12:40:00,0.0
