hour,airport_icao_names,cumulative_delay,edge_index
4,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[0],
        [8]])"
5,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[841.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[11],
        [ 0]])"
6,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[116.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [ 16.],
        [  0.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[ 8,  8, 10, 10],
        [ 0,  7,  0,  1]])"
7,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[462.],
        [ 39.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [477.],
        [  0.],
        [159.],
        [  0.],
        [  0.]])","tensor([[10,  8,  8,  0,  6,  3,  1,  1,  7, 11],
        [ 7,  0,  0,  9,  0,  0,  7,  9,  1,  7]])"
8,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[584.],
        [ 39.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [477.],
        [  0.],
        [159.],
        [  0.],
        [  0.]])","tensor([[7, 4, 2, 5],
        [0, 0, 0, 0]])"
9,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[584.],
        [ 39.],
        [  0.],
        [  0.],
        [  0.],
        [ 17.],
        [ 51.],
        [477.],
        [  0.],
        [159.],
        [  0.],
        [  0.]])","tensor([[0, 9, 5, 1, 9, 0, 3, 0, 4, 2, 3, 0],
        [3, 0, 0, 0, 0, 6, 0, 5, 0, 0, 0, 2]])"
10,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[732.],
        [116.],
        [  0.],
        [  0.],
        [133.],
        [ 73.],
        [ 51.],
        [  0.],
        [323.],
        [159.],
        [  0.],
        [  0.]])","tensor([[ 0,  4,  0,  0,  9,  0,  8, 11,  0,  9,  0,  4,  0,  0,  5],
        [ 7,  9,  8,  9,  4,  4, 11,  8,  9,  0,  1,  8,  5,  2,  0]])"
11,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[675.],
        [ 65.],
        [  0.],
        [  0.],
        [255.],
        [ 73.],
        [ 51.],
        [  0.],
        [323.],
        [159.],
        [ 23.],
        [  0.]])","tensor([[ 6,  3,  1,  0,  7,  0, 11,  1,  7],
        [ 0,  0,  4,  9,  4,  1, 10,  0,  0]])"
12,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[548.],
        [ 23.],
        [  0.],
        [111.],
        [255.],
        [ 17.],
        [ 51.],
        [431.],
        [323.],
        [159.],
        [ 23.],
        [  0.]])","tensor([[ 0, 10,  2,  9,  8,  4,  9,  3,  7,  0,  0,  0,  0,  0,  0,  5,  8,  9,
          8, 11],
        [ 6, 11,  0,  1,  0,  7,  0,  0,  8,  3,  1,  9,  4,  7,  5,  0, 10,  4,
         11,  8]])"
13,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[821.],
        [ 65.],
        [  0.],
        [142.],
        [255.],
        [ 17.],
        [ 51.],
        [431.],
        [277.],
        [ 82.],
        [ 23.],
        [  0.]])","tensor([[ 0,  7, 10,  0,  9,  8,  1,  7,  1,  0,  1,  0,  0,  0,  0,  0, 11,  4],
        [ 9, 11,  0,  2,  0,  0,  8, 10,  0,  8, 10, 11,  1,  3,  3, 10,  0,  0]])"
