gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
DAL2888.SEA.SFO.230228.1520.0068.TFM,KSEA,KSFO,2023-03-01 17:16:00,2023-03-01 17:36:00,DAL,2023-03-01 12:16:00,2023-03-01 12:36:00,11.0,10.0,0.0,2023-03-01,17:16:00,2023-03-01,12:16:00,0.0
DAL316.ATL.DCA.230228.1440.0091.TFM,KATL,KDCA,2023-03-01 16:19:00,2023-03-01 16:19:00,DAL,2023-03-01 11:19:00,2023-03-01 11:19:00,3.0,0.0,0.0,2023-03-01,16:19:00,2023-03-01,11:19:00,0.0
DAL2614.LAX.SFO.230228.1400.0238.TFM,KLAX,KSFO,2023-03-01 15:12:00,2023-03-01 15:26:00,DAL,2023-03-01 10:12:00,2023-03-01 10:26:00,11.0,8.0,0.0,2023-03-01,15:12:00,2023-03-01,10:12:00,0.0
DAL323.JFK.SFO.230228.0240.0087.TFM,KJFK,KSFO,2023-03-01 11:29:00,2023-03-01 09:27:00,DAL,2023-03-01 06:29:00,2023-03-01 04:27:00,11.0,7.0,122.0,2023-03-01,11:29:00,2023-03-01,06:29:00,122.0
DAL538.LAX.JFK.230228.1400.0341.TFM,KLAX,KJFK,2023-03-01 18:31:00,2023-03-01 19:20:00,DAL,2023-03-01 13:31:00,2023-03-01 14:20:00,7.0,8.0,0.0,2023-03-01,18:31:00,2023-03-01,13:31:00,0.0
DAL528.ATL.LGA.230228.1715.0069.TFM,KATL,KLGA,2023-03-01 19:20:00,2023-03-01 19:27:00,DAL,2023-03-01 14:20:00,2023-03-01 14:27:00,9.0,0.0,0.0,2023-03-01,19:20:00,2023-03-01,14:20:00,0.0
DAL655.SEA.ATL.230228.1400.0334.TFM,KSEA,KATL,2023-03-01 18:43:00,2023-03-01 18:38:00,DAL,2023-03-01 13:43:00,2023-03-01 13:38:00,0.0,10.0,0.0,2023-03-01,18:43:00,2023-03-01,13:43:00,0.0
DAL927.ATL.LGA.230228.1416.0011.TFM,KATL,KLGA,2023-03-01 16:14:00,2023-03-01 16:26:00,DAL,2023-03-01 11:14:00,2023-03-01 11:26:00,9.0,0.0,0.0,2023-03-01,16:14:00,2023-03-01,11:14:00,0.0
DAL527.LAX.ATL.230228.0900.0038.TFM,KLAX,KATL,2023-03-02 01:04:00,2023-03-01 13:08:00,DAL,2023-03-01 20:04:00,2023-03-01 08:08:00,0.0,8.0,716.0,2023-03-02,01:04:00,2023-03-01,20:04:00,716.0
DAL759.DCA.ATL.230228.2000.0236.TFM,KDCA,KATL,2023-03-01 21:49:00,2023-03-01 22:01:00,DAL,2023-03-01 16:49:00,2023-03-01 17:01:00,0.0,3.0,0.0,2023-03-01,21:49:00,2023-03-01,16:49:00,716.0
DAL482.JFK.LAX.230228.1345.0052.TFM,KJFK,KLAX,2023-03-01 20:31:00,2023-03-01 20:20:00,DAL,2023-03-01 15:31:00,2023-03-01 15:20:00,8.0,7.0,0.0,2023-03-01,20:31:00,2023-03-01,15:31:00,0.0
DAL607.BOS.LAX.230228.2005.0060.TFM,KBOS,KLAX,2023-03-02 03:13:00,2023-03-02 02:45:00,DAL,2023-03-01 22:13:00,2023-03-01 21:45:00,8.0,1.0,28.0,2023-03-02,03:13:00,2023-03-01,22:13:00,28.0
DAL327.ATL.BOS.230228.1225.0043.TFM,KATL,KBOS,2023-03-01 14:49:00,2023-03-01 15:02:00,DAL,2023-03-01 09:49:00,2023-03-01 10:02:00,1.0,0.0,0.0,2023-03-01,14:49:00,2023-03-01,09:49:00,0.0
DAL995.DFW.BOS.230301.0120.0039.TFM,KDFW,KBOS,2023-03-02 04:47:00,2023-03-02 04:57:00,DAL,2023-03-01 23:47:00,2023-03-01 23:57:00,1.0,4.0,0.0,2023-03-02,04:47:00,2023-03-01,23:47:00,0.0
DAL2226.ATL.EWR.230228.2030.0066.TFM,KATL,KEWR,2023-03-01 22:21:00,2023-03-01 22:37:00,DAL,2023-03-01 17:21:00,2023-03-01 17:37:00,5.0,0.0,0.0,2023-03-01,22:21:00,2023-03-01,17:21:00,0.0
DAL419.ATL.LGA.230228.2020.0137.TFM,KATL,KLGA,2023-03-01 22:20:00,2023-03-01 22:35:00,DAL,2023-03-01 17:20:00,2023-03-01 17:35:00,9.0,0.0,0.0,2023-03-01,22:20:00,2023-03-01,17:20:00,0.0
DAL635.ATL.DCA.230228.1610.0087.TFM,KATL,KDCA,2023-03-01 18:05:00,2023-03-01 17:49:00,DAL,2023-03-01 13:05:00,2023-03-01 12:49:00,3.0,0.0,16.0,2023-03-01,18:05:00,2023-03-01,13:05:00,16.0
DAL806.BOS.ATL.230228.1615.0119.TFM,KBOS,KATL,2023-03-01 19:10:00,2023-03-01 19:15:00,DAL,2023-03-01 14:10:00,2023-03-01 14:15:00,0.0,1.0,0.0,2023-03-01,19:10:00,2023-03-01,14:10:00,716.0
DAL2890.JFK.ATL.230228.2200.0183.TFM,KJFK,KATL,2023-03-02 00:15:00,2023-03-02 00:40:00,DAL,2023-03-01 19:15:00,2023-03-01 19:40:00,0.0,7.0,0.0,2023-03-02,00:15:00,2023-03-01,19:15:00,716.0
DAL848.LGA.ATL.230228.1650.0098.TFM,KLGA,KATL,2023-03-01 19:19:00,2023-03-01 19:35:00,DAL,2023-03-01 14:19:00,2023-03-01 14:35:00,0.0,9.0,0.0,2023-03-01,19:19:00,2023-03-01,14:19:00,716.0
DAL2644.ATL.EWR.230228.1406.0035.TFM,KATL,KEWR,2023-03-01 16:19:00,2023-03-01 16:06:00,DAL,2023-03-01 11:19:00,2023-03-01 11:06:00,5.0,0.0,0.0,2023-03-01,16:19:00,2023-03-01,11:19:00,0.0
DAL2332.ATL.IAD.230228.1220.0060.TFM,KATL,KIAD,2023-03-01 14:08:00,2023-03-01 14:05:00,DAL,2023-03-01 09:08:00,2023-03-01 09:05:00,6.0,0.0,0.0,2023-03-01,14:08:00,2023-03-01,09:08:00,0.0
DAL476.ATL.LGA.230228.1215.0084.TFM,KATL,KLGA,2023-03-01 14:29:00,2023-03-01 14:30:00,DAL,2023-03-01 09:29:00,2023-03-01 09:30:00,9.0,0.0,0.0,2023-03-01,14:29:00,2023-03-01,09:29:00,0.0
DAL352.LAX.ATL.230228.0800.0050.TFM,KLAX,KATL,2023-03-01 12:29:00,2023-03-01 12:10:00,DAL,2023-03-01 07:29:00,2023-03-01 07:10:00,0.0,8.0,19.0,2023-03-01,12:29:00,2023-03-01,07:29:00,735.0
DAL471.ATL.LAX.230228.1100.0173.TFM,KATL,KLAX,2023-03-01 16:42:00,2023-03-01 16:04:00,DAL,2023-03-01 11:42:00,2023-03-01 11:04:00,8.0,0.0,38.0,2023-03-01,16:42:00,2023-03-01,11:42:00,66.0
DAL357.JFK.SEA.230228.2330.0154.TFM,KJFK,KSEA,2023-03-02 06:47:00,2023-03-02 06:01:00,DAL,2023-03-02 01:47:00,2023-03-02 01:01:00,10.0,7.0,46.0,2023-03-02,06:47:00,2023-03-02,01:47:00,46.0
