,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
379,DAL2888.SFO.SEA.230228.1835.0081.TFM,KSFO,KSEA,2023-03-01 20:49:00,2023-03-01 20:50:00,DAL
380,UAL1357.IAD.SFO.230228.2240.0130.TFM,KIAD,KSFO,2023-03-02 04:22:00,2023-03-02 04:30:00,UAL
381,DAL1574.BOS.LGA.230301.0315.0076.TFM,KBOS,KLGA,2023-03-02 04:12:00,2023-03-02 04:44:00,DAL
382,AAL2128.LGA.DCA.230301.0100.0220.TFM,KLGA,KDCA,2023-03-02 03:08:00,2023-03-02 02:22:00,AAL
383,UAL2626.SFO.IAD.230301.0050.0180.TFM,KSFO,KIAD,2023-03-02 05:35:00,2023-03-02 05:45:00,UAL
384,AAL2226.ATL.DCA.230228.1925.0055.TFM,KATL,KDCA,2023-03-01 20:56:00,2023-03-01 21:09:00,AAL
385,RPA3656.EWR.IAD.230228.2200.0174.TFM,KEWR,KIAD,2023-03-01 23:14:00,2023-03-01 23:20:00,RPA
386,RPA4802.DCA.ATL.230228.1900.0111.TFM,KDCA,KATL,2023-03-01 20:57:00,2023-03-01 21:13:00,RPA
387,DAL1078.JFK.BOS.230228.1110.0037.TFM,KJFK,KBOS,2023-03-01 12:31:00,2023-03-01 12:28:00,DAL
388,ASH6029.IAD.LGA.230228.1305.0100.TFM,KIAD,KLGA,2023-03-01 14:19:00,2023-03-01 14:33:00,ASH
389,SKW937C.SFO.LAX.230228.0625.0015.TFM,KSFO,KLAX,2023-03-01 08:03:00,2023-03-01 07:53:00,SKW
390,DAL839.ATL.DFW.230228.1215.0090.TFM,KATL,KDFW,2023-03-01 15:14:00,2023-03-01 14:46:00,DAL
391,UAL433.BOS.SFO.230228.1100.0237.TFM,KBOS,KSFO,2023-03-01 18:07:00,2023-03-01 17:45:00,UAL
392,AAL2708.DFW.LGA.230301.0035.0117.TFM,KDFW,KLGA,2023-03-02 03:20:00,2023-03-02 03:50:00,AAL
393,AAL2029.BOS.DCA.230228.1330.0143.TFM,KBOS,KDCA,2023-03-01 15:23:00,2023-03-01 15:14:00,AAL
394,RPA3602.EWR.ATL.230228.1115.0025.TFM,KEWR,KATL,2023-03-01 13:40:00,2023-03-01 13:53:00,RPA
395,RPA4349.JFK.BOS.230301.0025.0159.TFM,KJFK,KBOS,2023-03-02 01:39:00,2023-03-02 01:38:00,RPA
396,AAL1024.SFO.DFW.230228.0800.0044.TFM,KSFO,KDFW,2023-03-01 12:45:00,2023-03-01 11:26:00,AAL
397,AAL524.LAX.DFW.230228.2230.0263.TFM,KLAX,KDFW,2023-03-02 01:47:00,2023-03-02 01:29:00,AAL
398,AAL2023.DFW.SFO.230228.1645.0113.TFM,KDFW,KSFO,2023-03-01 21:07:00,2023-03-01 20:42:00,AAL
399,DAL2266.EWR.ATL.230228.1100.0107.TFM,KEWR,KATL,2023-03-01 13:28:00,2023-03-01 13:29:00,DAL
400,UAL2416.SFO.EWR.230228.0745.0016.TFM,KSFO,KEWR,2023-03-01 12:45:00,2023-03-01 12:59:00,UAL
401,DAL376.BOS.ATL.230228.1905.0052.TFM,KBOS,KATL,2023-03-01 22:37:00,2023-03-01 22:04:00,DAL
402,DAL591.LAX.ATL.230228.1500.0109.TFM,KLAX,KATL,2023-03-01 18:54:00,2023-03-01 19:10:00,DAL
403,AAL276.SFO.JFK.230228.0635.0027.TFM,KSFO,KJFK,2023-03-01 13:06:00,2023-03-01 11:59:00,AAL
404,DAL685.JFK.LAX.230228.1845.0164.TFM,KJFK,KLAX,2023-03-02 01:23:00,2023-03-02 01:10:00,DAL
405,ASH6099.LGA.IAD.230228.2030.0194.TFM,KLGA,KIAD,2023-03-01 21:42:00,2023-03-01 21:55:00,ASH
406,DAL2049.JFK.ATL.230228.1115.0080.TFM,KJFK,KATL,2023-03-01 14:16:00,2023-03-01 13:53:00,DAL
407,DAL719.JFK.SFO.230228.1510.0125.TFM,KJFK,KSFO,2023-03-01 21:27:00,2023-03-01 22:00:00,DAL
408,DAL2644.EWR.ATL.230228.1705.0051.TFM,KEWR,KATL,2023-03-01 19:12:00,2023-03-01 19:23:00,DAL
