hour,airport_icao_names,cumulative_delay,edge_index
4,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[7, 8],
        [5, 5]])"
5,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[9],
        [5]])"
6,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[  0.],
        [ 64.],
        [  0.],
        [  0.],
        [ 47.],
        [276.],
        [ 44.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[7, 9, 9, 7, 7, 6, 9],
        [1, 4, 5, 6, 2, 5, 2]])"
7,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[  0.],
        [307.],
        [  0.],
        [  0.],
        [ 47.],
        [453.],
        [608.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[5, 5, 7, 9, 1, 9],
        [6, 1, 5, 1, 5, 6]])"
8,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[  0.],
        [307.],
        [  0.],
        [  0.],
        [ 47.],
        [453.],
        [608.],
        [  0.],
        [  0.],
        [  0.]])","tensor([], size=(2, 0), dtype=torch.int64)"
9,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[  0.],
        [  0.],
        [  0.],
        [  0.],
        [ 47.],
        [568.],
        [608.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[5, 1, 1],
        [1, 5, 5]])"
10,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[343.],
        [496.],
        [  0.],
        [  0.],
        [ 47.],
        [568.],
        [730.],
        [  0.],
        [  0.],
        [684.]])","tensor([[6, 6, 4, 5, 6, 5, 0, 5, 8],
        [1, 5, 5, 6, 0, 0, 6, 1, 9]])"
11,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[343.],
        [496.],
        [  0.],
        [  0.],
        [ 25.],
        [568.],
        [  0.],
        [  0.],
        [  0.],
        [ 68.]])","tensor([[1, 5, 6, 1],
        [6, 4, 9, 5]])"
12,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[343.],
        [496.],
        [  0.],
        [  0.],
        [ 25.],
        [835.],
        [  0.],
        [316.],
        [  0.],
        [329.]])","tensor([[4, 8, 9, 4, 5, 5],
        [9, 7, 7, 5, 1, 7]])"
13,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[343.],
        [355.],
        [  0.],
        [  0.],
        [ 25.],
        [453.],
        [  0.],
        [316.],
        [ 48.],
        [629.]])","tensor([[5, 5, 2, 1, 6, 6, 5, 0, 7],
        [1, 8, 9, 9, 5, 1, 9, 5, 9]])"
