hour,airport_icao_names,cumulative_delay,edge_index
4,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([], size=(2, 0), dtype=torch.int64)"
5,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[42.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[11],
        [ 0]])"
6,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[221.],
        [ 58.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [ 37.],
        [  0.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[ 8, 10,  8, 10],
        [ 0,  1,  7,  0]])"
7,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[221.],
        [ 58.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [ 37.],
        [  0.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[3, 6, 8, 1, 7],
        [0, 0, 0, 7, 1]])"
8,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1296.],
        [  58.],
        [   0.],
        [   0.],
        [   0.],
        [   0.],
        [  50.],
        [  37.],
        [   0.],
        [   0.],
        [   0.],
        [   0.]])","tensor([[2, 9, 5, 0, 0, 4, 8],
        [0, 0, 0, 2, 6, 0, 0]])"
9,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1296.],
        [  58.],
        [   0.],
        [ 368.],
        [   0.],
        [   0.],
        [  50.],
        [  69.],
        [   0.],
        [   0.],
        [   0.],
        [   0.]])","tensor([[1, 5, 7, 1, 2, 4, 0, 0, 3],
        [0, 0, 0, 7, 0, 0, 5, 3, 0]])"
10,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1795.],
        [  58.],
        [   0.],
        [ 368.],
        [  96.],
        [   0.],
        [  50.],
        [  37.],
        [ 109.],
        [ 197.],
        [   0.],
        [   0.]])","tensor([[ 0,  4,  0,  0,  8,  0,  0,  3,  1,  5, 11],
        [ 2,  8,  5,  7, 11,  9,  4,  0,  9,  0,  8]])"
11,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1817.],
        [  58.],
        [   0.],
        [ 368.],
        [  53.],
        [   0.],
        [  33.],
        [  37.],
        [ 109.],
        [ 166.],
        [ 198.],
        [   0.]])","tensor([[ 7,  0,  7,  6,  9,  1, 11,  0,  0,  1,  3],
        [ 4,  1,  0,  0,  0,  0, 10,  6,  9,  4,  0]])"
12,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1073.],
        [ 466.],
        [   0.],
        [ 221.],
        [ 180.],
        [   0.],
        [  33.],
        [ 323.],
        [ 109.],
        [ 166.],
        [ 198.],
        [ 142.]])","tensor([[ 4,  2,  0,  0,  0,  0,  8,  8, 11,  0,  9,  0,  9],
        [ 7,  0,  5,  3,  7,  4,  0, 11,  8,  8,  1,  1,  4]])"
13,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1296.],
        [ 466.],
        [   0.],
        [ 221.],
        [ 180.],
        [   0.],
        [  33.],
        [ 323.],
        [ 109.],
        [ 197.],
        [ 335.],
        [ 142.]])","tensor([[ 1,  1,  4, 11,  0, 10,  0,  7,  9,  0,  7, 10,  0,  0,  5,  7,  8,  1,
          0],
        [ 8,  0,  0,  0,  8,  0,  2, 10,  0,  9, 11,  8, 11,  9,  0,  8, 10, 10,
         10]])"
