hour,airport_icao_names,cumulative_delay,edge_index
4,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[113.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [176.],
        [  0.],
        [  0.],
        [ 93.]])","tensor([[ 7,  7,  8],
        [ 8, 11,  0]])"
5,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[113.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [806.],
        [176.],
        [  0.],
        [  0.],
        [ 93.]])","tensor([[11,  8],
        [ 7,  7]])"
6,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[113.],
        [ 75.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [806.],
        [176.],
        [ 30.],
        [  0.],
        [ 93.]])","tensor([[11,  8,  8,  1, 10],
        [ 0,  1,  0,  9,  0]])"
7,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 26.],
        [115.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [806.],
        [176.],
        [ 30.],
        [  0.],
        [ 93.]])","tensor([[ 6,  3, 11,  2, 10],
        [ 0,  0,  1,  0,  7]])"
8,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 26.],
        [ 96.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [ 21.],
        [176.],
        [ 30.],
        [  0.],
        [ 93.]])","tensor([[ 0,  8,  0,  1,  7,  5,  4,  0,  2,  8, 10,  9,  1,  0],
        [ 3,  0,  9,  0,  0,  0,  0,  9,  0,  7,  1,  0,  9,  6]])"
9,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 47.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [106.],
        [176.],
        [ 30.],
        [  0.],
        [ 93.]])","tensor([[ 0,  6,  0,  9,  0, 11,  0,  2,  4,  5,  3,  3,  1,  0,  9],
        [ 2,  0,  1,  4,  7,  7,  4,  0,  0,  0,  0,  0,  0,  5,  0]])"
10,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 75.],
        [  0.],
        [ 71.],
        [  0.],
        [  0.],
        [  0.],
        [106.],
        [379.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[ 7,  5,  0,  8,  1,  9,  0,  0,  4,  4,  0,  0, 11],
        [ 0,  0,  9, 11,  0,  0,  1,  7,  9,  8,  3,  2,  8]])"
11,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 74.],
        [ 75.],
        [  0.],
        [ 24.],
        [252.],
        [  0.],
        [  0.],
        [  0.],
        [379.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[ 4,  3,  9,  0, 11,  1,  0,  0,  6,  0,  8,  1,  0,  9,  0,  3],
        [ 7,  0,  1,  6, 10,  4,  5,  9,  0,  3, 10,  0,  8,  0,  4,  0]])"
12,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[113.],
        [ 75.],
        [  0.],
        [ 24.],
        [134.],
        [  0.],
        [  0.],
        [166.],
        [379.],
        [  0.],
        [  0.],
        [ 93.]])","tensor([[ 1,  7,  4,  0,  0,  7,  5,  1,  8, 10,  0,  2,  9,  0, 11,  9],
        [10, 10,  0,  1,  9, 11,  0,  0,  0, 11,  2,  0,  4,  7,  8,  0]])"
13,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 47.],
        [115.],
        [  0.],
        [ 24.],
        [252.],
        [ 51.],
        [  0.],
        [747.],
        [379.],
        [ 30.],
        [  0.],
        [109.]])","tensor([[ 8,  0,  1,  9, 10,  0,  8,  3,  0, 11,  0,  7,  0,  2,  0,  0,  0,  0],
        [11,  2,  8,  0,  0, 10, 10,  0, 11,  0,  4,  8,  8,  0,  7,  9,  5,  1]])"
14,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 47.],
        [ 75.],
        [  0.],
        [ 71.],
        [252.],
        [ 51.],
        [  0.],
        [701.],
        [379.],
        [ 30.],
        [  0.],
        [109.]])","tensor([[ 1,  0,  4,  0,  6,  3,  7,  0,  8,  7,  9, 11,  1,  0,  7,  5,  8,  0],
        [11,  1,  9, 10,  0,  0, 11,  8,  4,  4,  0,  7,  0,  3,  0,  0,  0,  9]])"
15,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 74.],
        [ 96.],
        [  0.],
        [ 71.],
        [252.],
        [ 51.],
        [  0.],
        [806.],
        [379.],
        [  0.],
        [  0.],
        [109.]])","tensor([[ 8, 10,  7,  0,  9, 11, 10,  8,  0,  8,  2, 10,  9,  7,  4, 10, 11,  8,
          0,  8, 10,  0,  0],
        [10,  8,  8,  9,  0,  0,  1, 11,  1,  1,  0,  0,  4, 11,  0,  8,  8,  7,
          6,  0,  7,  4,  5]])"
