,iata,lat,long,icao
134,CSG,32.51633333,-84.93886111,KCSG
135,SBN,41.70895361,-86.31847417,KSBN
136,BOI,43.56444444,-116.2227778,KBOI
137,MYR,33.67975,-78.92833333,KMYR
138,MOT,48.25937778,-101.2803339,KMOT
139,CMI,40.03925,-88.27805556,KCMI
140,ROA,37.32546833,-79.97542833,KROA
141,EGE,39.64256778,-106.9176953,KEGE
142,JAC,43.60732417,-110.7377389,KJAC
143,BZN,45.77690139,-111.1530072,KBZN
144,GJT,39.1224125,-108.5267347,KGJT
145,BUR,34.20061917,-118.3584969,KBUR
146,EVV,38.03799139,-87.53062667,KEVV
147,GUC,38.53396333,-106.9331817,KGUC
148,IDA,43.51455556,-112.0701667,KIDA
149,FAT,36.77619444,-119.7181389,KFAT
150,SPI,39.84395194,-89.67761861,KSPI
151,MFE,26.17583333,-98.23861111,KMFE
152,RDD,40.50898361,-122.2934019,KRDD
153,GFK,47.949255,-97.17611111,KGFK
154,FSD,43.58135111,-96.74170028,KFSD
155,TWF,42.48180389,-114.4877356,KTWF
156,SMX,34.89924833,-120.4575825,KSMX
157,PIH,42.91130556,-112.5958611,KPIH
158,DHN,31.32133917,-85.44962889,KDHN
159,OAJ,34.82916444,-77.61213778,KOAJ
160,MTJ,38.50886722,-107.8938333,KMTJ
161,BIS,46.77411111,-100.7467222,KBIS
162,CPR,42.90835556,-106.4644661,KCPR
163,TVC,44.74144472,-85.582235,KTVC
164,MLU,32.51086556,-92.03768778,KMLU
165,PSC,46.26468028,-119.1190292,KPSC
166,MHK,39.14096722,-96.67083278,KMHK
167,AEX,31.32737167,-92.54855611,KAEX
168,OTH,43.41713889,-124.2460278,KOTH
169,SAF,35.61677778,-106.0881389,KSAF
170,LMT,42.15614361,-121.7332081,KLMT
171,SWF,41.50409361,-74.10483833,KSWF
172,CHO,38.13863889,-78.45286111,KCHO
173,VLD,30.7825,-83.27672222,KVLD
174,CWA,44.77761917,-89.66677944,KCWA
175,IYK,35.65884306,-117.8295122,KIYK
176,ACV,40.97811528,-124.1086189,KACV
177,BQK,31.25902778,-81.46630556,KBQK
178,LNK,40.85097222,-96.75925,KLNK
179,FWA,40.97846583,-85.19514639,KFWA
180,COD,44.52019417,-109.0237961,KCOD
181,PAH,37.06083333,-88.77375,KPAH
182,SBP,35.23705806,-120.6423931,KSBP
183,AVP,41.33814944,-75.7242675,KAVP
184,GTR,33.45033444,-88.59136861,KGTR
185,GCC,44.34889806,-105.5393614,KGCC
186,EWN,35.07297222,-77.04294444,KEWN
187,AGS,33.369955,-81.96449611,KAGS
188,FSM,35.33659028,-94.36744111,KFSM
189,TYR,32.35413889,-95.40238611,KTYR
190,HLN,46.60681806,-111.9827503,KHLN
191,GTF,47.48200194,-111.3706853,KGTF
192,MEI,32.33313333,-88.75120556,KMEI
193,MQT,46.353639,-87.395361,KIWA
194,TEX,37.95375861,-107.90848,KTEX
195,CHA,35.03526833,-85.20378778,KCHA
196,LWS,46.37449806,-117.0153944,KLWS
197,CDC,37.70097028,-113.098575,KCDC
198,ALB,42.74811944,-73.80297861,KALB
199,BTV,44.47300361,-73.1503125,KBTV
200,FCA,48.31140472,-114.2550694,KIWA
201,MLB,28.10275,-80.64580556,KMLB
202,DAB,29.17991667,-81.05805556,KDAB
203,ABE,40.65236278,-75.44040167,KABE
204,DLH,46.84209028,-92.19364861,KDLH
205,CYS,41.1557225,-104.8118381,KCYS
206,RKS,41.5942175,-109.0651928,KRKS
207,LWB,37.85830556,-80.39947222,KLWB
208,CRW,38.37315083,-81.59318972,KCRW
209,BLI,48.79275,-122.5375278,KBLI
210,MMH,37.62404861,-118.8377722,KMMH
211,ATW,44.25740806,-88.51947556,KATW
212,BKG,36.385913,-92.548828,KIWA
213,PIE,27.91076333,-82.68743944,KPIE
214,SPS,33.98879611,-98.49189333,KSPS
215,FAY,34.99147222,-78.88,KFAY
216,EAU,44.86525722,-91.48507194,KEAU
217,DBQ,42.40295944,-90.70916722,KDBQ
218,RST,43.90882639,-92.49798722,KRST
219,UTM,34.681499,-90.348816,KUTM
220,BIL,45.8076625,-108.5428611,KBIL
